,Found as,Full name,InDefinitiveList,Start,End,PositionOfFirstToken,Sentence_species,InReferenceList,Location,Original Tokenised Text,Start_Token,End_Token,Start_Index,End_Index,Sentence_location,NZGazAnt,NZGaz,ScarNZ,ScarGlobal,GeoNamesNZ,GeoNamesAnt,GeoNames,exactMatch,Close_Match_NZGazAnt,Close_Match_NZGaz,Close_Match_ScarNZ,Close_Match_ScarGlobal,Close_Match_GeoNamesNZ,Close_Match_GeoNamesAnt,Close_Match,PartialMatch_NZGazAnt,PartialMatch_NZGaz,PartialMatch_ScarNZ,PartialMatch_ScarGlobal,PartialMatch_GeoNamesNZ,PartialMatch_GeoNamesAnt,PartialMatch,inNZ,inAntarctica,Found
0,Gressittacantha terranova,Gressittacantha terranova,True,30,32,164,"Antarctic Science 13 (3): 246-254 (2001) © Antarctic Science Ltd Printed in the United Kingdom High levels of genetic variability and population differentiation in Gressittacantha terranova (Collembola, Hexapoda) from Victoria Land, Antarctica PIETRO PAOLO FANCIULLI, DOMENICO SUMMA, ROMANO DALLAI and FRANCESCO FRATI*",True,Antarctica,Antarctica,41,42,233,243,"Antarctic Science 13 (3): 246-254 (2001) © Antarctic Science Ltd Printed in the United Kingdom High levels of genetic variability and population differentiation in Gressittacantha terranova (Collembola, Hexapoda) from Victoria Land, Antarctica PIETRO PAOLO FANCIULLI, DOMENICO SUMMA, ROMANO DALLAI and FRANCESCO FRATI*",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
1,Gressittacantha terranova,Gressittacantha terranova,True,30,32,164,"Antarctic Science 13 (3): 246-254 (2001) © Antarctic Science Ltd Printed in the United Kingdom High levels of genetic variability and population differentiation in Gressittacantha terranova (Collembola, Hexapoda) from Victoria Land, Antarctica PIETRO PAOLO FANCIULLI, DOMENICO SUMMA, ROMANO DALLAI and FRANCESCO FRATI*",True,Mariner Glacier,the Mariner Glacier,111,113,673,688,"Abstract: Allozyme electrophoresis was used to assess genetic variability and differentiation in 22 populations of Gressittacantha terranova Wise (Hexapoda, Collembola) from a coastal area of Victoria Land between the Mariner Glacier and the Nansen Ice Sheet.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
2,Gressittacantha terranova,Gressittacantha terranova,True,30,32,164,"Antarctic Science 13 (3): 246-254 (2001) © Antarctic Science Ltd Printed in the United Kingdom High levels of genetic variability and population differentiation in Gressittacantha terranova (Collembola, Hexapoda) from Victoria Land, Antarctica PIETRO PAOLO FANCIULLI, DOMENICO SUMMA, ROMANO DALLAI and FRANCESCO FRATI*",True,Antarctica,Antarctica,245,246,1464,1474,"Genetic differentiation reflects the geographic arrangement of the populations, suggesting that the glaciers are effective barriers to gene flow, and that the patchy distribution of collembolan species in Antarctica has the potential to induce, in the long term, microspeciation processes.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
3,Gressittacantha terranova,Gressittacantha terranova,True,30,32,164,"Antarctic Science 13 (3): 246-254 (2001) © Antarctic Science Ltd Printed in the United Kingdom High levels of genetic variability and population differentiation in Gressittacantha terranova (Collembola, Hexapoda) from Victoria Land, Antarctica PIETRO PAOLO FANCIULLI, DOMENICO SUMMA, ROMANO DALLAI and FRANCESCO FRATI*",True,Antarctica,Antarctica,391,392,2383,2393,"Received 23 January 2001, accepted 2 May 2001 Key words: allozyme electrophoresis, gene flow, geographic differentiation, genetic distance, heterozygosity, speciation Introduction Gressittacantha terranova Wise, 1967 (Hexapoda, Collembola, Isotomidae) is endemic to Victoria Land, and is one of only eleven species of Collembola reported from Eastern (=Continental) Antarctica (Greenslade 1995).",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
4,Gressittacantha terranova,Gressittacantha terranova,True,30,32,164,"Antarctic Science 13 (3): 246-254 (2001) © Antarctic Science Ltd Printed in the United Kingdom High levels of genetic variability and population differentiation in Gressittacantha terranova (Collembola, Hexapoda) from Victoria Land, Antarctica PIETRO PAOLO FANCIULLI, DOMENICO SUMMA, ROMANO DALLAI and FRANCESCO FRATI*",True,Mariner Glacier,the Mariner Glacier,520,522,3015,3030,"Gressittacantha terranova is the dominant species between the Mariner Glacier (73°20'S) and the Nansen Ice Sheet (74°55'S) (Fig. 1) where it usually outnumbers the sympatric species Friesea grisea (Schaffer, 1891)",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
5,Gressittacantha terranova,Gressittacantha terranova,True,30,32,164,"Antarctic Science 13 (3): 246-254 (2001) © Antarctic Science Ltd Printed in the United Kingdom High levels of genetic variability and population differentiation in Gressittacantha terranova (Collembola, Hexapoda) from Victoria Land, Antarctica PIETRO PAOLO FANCIULLI, DOMENICO SUMMA, ROMANO DALLAI and FRANCESCO FRATI*",True,Antarctica,Antarctica,572,573,3234,3244,"The development of collembolan communities in Antarctica, as with all Antarctic soil arthropods (Kennedy 1993, Block 1994), is largely dependent upon the availability of free water, the presence of some vegetation, a direct or indirect food source (Kennedy 1999), and stones which provide shelter 246 from dehydrating winds (Frati et al. 1997).",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
6,Gressittacantha terranova,Gressittacantha terranova,True,30,32,164,"Antarctic Science 13 (3): 246-254 (2001) © Antarctic Science Ltd Printed in the United Kingdom High levels of genetic variability and population differentiation in Gressittacantha terranova (Collembola, Hexapoda) from Victoria Land, Antarctica PIETRO PAOLO FANCIULLI, DOMENICO SUMMA, ROMANO DALLAI and FRANCESCO FRATI*",True,Victoria Land,the Victoria Land,936,938,5405,5418,we report on the allele frequencies observed at five enzyme loci in individuals from populations of Gressittacantha terranova collected in the Victoria Land in 1995-96 and 1998-99.,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
7,Gressittacantha terranova,Gressittacantha terranova,True,30,32,164,"Antarctic Science 13 (3): 246-254 (2001) © Antarctic Science Ltd Printed in the United Kingdom High levels of genetic variability and population differentiation in Gressittacantha terranova (Collembola, Hexapoda) from Victoria Land, Antarctica PIETRO PAOLO FANCIULLI, DOMENICO SUMMA, ROMANO DALLAI and FRANCESCO FRATI*",True,Mariner Glacier,the Mariner Glacier,1038,1040,5921,5936,"Materials and methods Specimens of G. terranova were collected from 22 geographically isolated populations (Table [) between the Mariner Glacier and the Nansen Ice Sheet (Fig. 1), reached via helicopters based at Terra Nova Bay Research Station.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
8,Gressittacantha terranova,Gressittacantha terranova,True,30,32,164,"Antarctic Science 13 (3): 246-254 (2001) © Antarctic Science Ltd Printed in the United Kingdom High levels of genetic variability and population differentiation in Gressittacantha terranova (Collembola, Hexapoda) from Victoria Land, Antarctica PIETRO PAOLO FANCIULLI, DOMENICO SUMMA, ROMANO DALLAI and FRANCESCO FRATI*",True,Mount McGee MMGE,Mount McGee MMGE,1425,1428,7546,7562,"Mount McGee MMGE 74°04'S, 164°33'E 17.",False,False,False,False,False,False,False,False,,,,,,,False,Mount McGee,Mount McGee,Mount McGee,Mount McGee,,,True,True,True,True
9,Gressittacantha terranova,Gressittacantha terranova,True,30,32,164,"Antarctic Science 13 (3): 246-254 (2001) © Antarctic Science Ltd Printed in the United Kingdom High levels of genetic variability and population differentiation in Gressittacantha terranova (Collembola, Hexapoda) from Victoria Land, Antarctica PIETRO PAOLO FANCIULLI, DOMENICO SUMMA, ROMANO DALLAI and FRANCESCO FRATI*",True,Emerging Island,Emerging Island,3687,3689,17723,17738,"The northern group includes Emerging Island, Apostrophe Island and Cape King (20 to 22 in Fig.",True,True,False,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
10,Gressittacantha terranova,Gressittacantha terranova,True,30,32,164,"Antarctic Science 13 (3): 246-254 (2001) © Antarctic Science Ltd Printed in the United Kingdom High levels of genetic variability and population differentiation in Gressittacantha terranova (Collembola, Hexapoda) from Victoria Land, Antarctica PIETRO PAOLO FANCIULLI, DOMENICO SUMMA, ROMANO DALLAI and FRANCESCO FRATI*",True,Cape Sastrugi,Cape Sastrugi,3992,3994,19178,19191,"(0.612-1.088) (0.000-0.240) southern 0.578 0.450 0.130 (0.370-0.734) (0.237-0.787) (0.055--0.294)   the expected level of heterozygosity exceeds 40% (with the population of Cape Sastrugi having > 50%), and only in one population (Campbell Glacier) it is < 20%.",True,True,True,True,False,False,False,True,,,,,,,,,,,,,,,True,True,True
11,Gressittacantha terranova,Gressittacantha terranova,True,30,32,164,"Antarctic Science 13 (3): 246-254 (2001) © Antarctic Science Ltd Printed in the United Kingdom High levels of genetic variability and population differentiation in Gressittacantha terranova (Collembola, Hexapoda) from Victoria Land, Antarctica PIETRO PAOLO FANCIULLI, DOMENICO SUMMA, ROMANO DALLAI and FRANCESCO FRATI*",True,Emerging Island,Emerging Island,4072,4074,19592,19607,"For example, M/pi-G and Hk-G have high frequencies in the northern populations (Emerging Island and Cape King), Mpi-F is more frequent in the southern group populations, while Mpi-A, Mpi-B, Mpi-C, and Pgm-G were found unique to the 12 central group populations and Apostrophe Island.",True,True,False,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
12,Gressittacantha terranova,Gressittacantha terranova,True,30,32,164,"Antarctic Science 13 (3): 246-254 (2001) © Antarctic Science Ltd Printed in the United Kingdom High levels of genetic variability and population differentiation in Gressittacantha terranova (Collembola, Hexapoda) from Victoria Land, Antarctica PIETRO PAOLO FANCIULLI, DOMENICO SUMMA, ROMANO DALLAI and FRANCESCO FRATI*",True,Apostrophe Island,Apostrophe Island,4137,4139,19917,19934,"Furthermore, the Apostrophe Island population is more similar to the populations of the central group than to the geographically closer populations of Emerging Island and Cape King, an observation confirmed by genetic distance values calculated between all possible population pairs (Table IIT).",True,True,False,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
13,Gressittacantha terranova,Gressittacantha terranova,True,30,32,164,"Antarctic Science 13 (3): 246-254 (2001) © Antarctic Science Ltd Printed in the United Kingdom High levels of genetic variability and population differentiation in Gressittacantha terranova (Collembola, Hexapoda) from Victoria Land, Antarctica PIETRO PAOLO FANCIULLI, DOMENICO SUMMA, ROMANO DALLAI and FRANCESCO FRATI*",True,Emerging Island,Emerging Island,4157,4159,20051,20066,"Furthermore, the Apostrophe Island population is more similar to the populations of the central group than to the geographically closer populations of Emerging Island and Cape King, an observation confirmed by genetic distance values calculated between all possible population pairs (Table IIT).",True,True,False,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
14,Gressittacantha terranova,Gressittacantha terranova,True,30,32,164,"Antarctic Science 13 (3): 246-254 (2001) © Antarctic Science Ltd Printed in the United Kingdom High levels of genetic variability and population differentiation in Gressittacantha terranova (Collembola, Hexapoda) from Victoria Land, Antarctica PIETRO PAOLO FANCIULLI, DOMENICO SUMMA, ROMANO DALLAI and FRANCESCO FRATI*",True,Apostrophe Island,the Apostrophe Island,4185,4187,20209,20226,"In fact, the Apostrophe Island population has a lower average genetic distance (D = 0.073) from the central group populations compared with Emerging Island and Cape King (0.934 and 0.907, respectively).",True,True,False,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
15,Gressittacantha terranova,Gressittacantha terranova,True,30,32,164,"Antarctic Science 13 (3): 246-254 (2001) © Antarctic Science Ltd Printed in the United Kingdom High levels of genetic variability and population differentiation in Gressittacantha terranova (Collembola, Hexapoda) from Victoria Land, Antarctica PIETRO PAOLO FANCIULLI, DOMENICO SUMMA, ROMANO DALLAI and FRANCESCO FRATI*",True,Emerging Island,Emerging Island,4206,4208,20336,20351,"In fact, the Apostrophe Island population has a lower average genetic distance (D = 0.073) from the central group populations compared with Emerging Island and Cape King (0.934 and 0.907, respectively).",True,True,False,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
16,Gressittacantha terranova,Gressittacantha terranova,True,30,32,164,"Antarctic Science 13 (3): 246-254 (2001) © Antarctic Science Ltd Printed in the United Kingdom High levels of genetic variability and population differentiation in Gressittacantha terranova (Collembola, Hexapoda) from Victoria Land, Antarctica PIETRO PAOLO FANCIULLI, DOMENICO SUMMA, ROMANO DALLAI and FRANCESCO FRATI*",True,Apostrophe Island,the Apostrophe Island,4222,4224,20415,20432,"This places the Apostrophe Island population in the central group, and, furthermore, genetically closer to the southern group populations (average D = 0.426) than to the northern populations.",True,True,False,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
