,Found as,Full name,InDefinitiveList,Start,End,PositionOfFirstToken,Sentence_species,InReferenceList,Location,Original Tokenised Text,Start_Token,End_Token,Start_Index,End_Index,Sentence_location,NZGazAnt,NZGaz,ScarNZ,ScarGlobal,GeoNamesNZ,GeoNamesAnt,GeoNames,exactMatch,Close_Match_NZGazAnt,Close_Match_NZGaz,Close_Match_ScarNZ,Close_Match_ScarGlobal,Close_Match_GeoNamesNZ,Close_Match_GeoNamesAnt,Close_Match,PartialMatch_NZGazAnt,PartialMatch_NZGaz,PartialMatch_ScarNZ,PartialMatch_ScarGlobal,PartialMatch_GeoNamesNZ,PartialMatch_GeoNamesAnt,PartialMatch,inNZ,inAntarctica,Found
0,Lecidea,Lecidea,False,2238,2239,12395,"No bryophytes were observed and lichen diversity was low; with Lecidea cacriformis being the most widely distributed lichen in the Lake Wellman (LW16.3, LW19, LW19.3) and Junction Spur sites (Table $2).",False,Darwin Mountains,the Darwin Mountains,1444,1446,8480,8496,"Such a hypothesis is achievable in a landscape where the drift age of terrain and glacial advance and retreat are the major dictators of ecosystem presence and absence; one of the very few regions on earth where such a study is possible is the ice-free regions of the Darwin Mountains, Transantarctic Mountains.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
1,Lecidea,Lecidea,False,2238,2239,12395,"No bryophytes were observed and lichen diversity was low; with Lecidea cacriformis being the most widely distributed lichen in the Lake Wellman (LW16.3, LW19, LW19.3) and Junction Spur sites (Table $2).",False,Darwin Mountains,the Darwin Mountains,1471,1473,8627,8643,"‘This work represents the first to integrate a wide multi-disciplinary dataset from around 80°S in the Darwin Mountains, Antarctica.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
2,Lecidea,Lecidea,False,2238,2239,12395,"No bryophytes were observed and lichen diversity was low; with Lecidea cacriformis being the most widely distributed lichen in the Lake Wellman (LW16.3, LW19, LW19.3) and Junction Spur sites (Table $2).",False,Antarctica,Antarctica,1474,1475,8645,8655,"‘This work represents the first to integrate a wide multi-disciplinary dataset from around 80°S in the Darwin Mountains, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
3,Lecidea,Lecidea,False,2238,2239,12395,"No bryophytes were observed and lichen diversity was low; with Lecidea cacriformis being the most widely distributed lichen in the Lake Wellman (LW16.3, LW19, LW19.3) and Junction Spur sites (Table $2).",False,Darwin Mountains,the Darwin Mountains,2224,2226,12314,12330,"Overall, macro-flora was found to be sparse in the Darwin Mountains.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
4,Lecidea,Lecidea,False,2238,2239,12395,"No bryophytes were observed and lichen diversity was low; with Lecidea cacriformis being the most widely distributed lichen in the Lake Wellman (LW16.3, LW19, LW19.3) and Junction Spur sites (Table $2).",False,Darwin Mountains,the Darwin Mountains,2528,2530,13929,13945,"To identify spatial diversity differences in all groups of organisms (bacteria, cyanobacteria, invertebrates, lichens and algae) within the sampling area of the Darwin Mountains, an HC analysis was performed based on the diversity matrix generated for all groups of soil organisms (using Richness values) (Fig. 3).",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
5,Lecidea,Lecidea,False,2238,2239,12395,"No bryophytes were observed and lichen diversity was low; with Lecidea cacriformis being the most widely distributed lichen in the Lake Wellman (LW16.3, LW19, LW19.3) and Junction Spur sites (Table $2).",False,Darwin Mountains,the Darwin Mountains,3642,3644,19930,19946,"In this study we coupled biodiversity at multiple trophic levels, historical landscape change and environmental factors to identify keystone drivers of the presence and distributions of taxa in the Darwin Mountains, continental Antarctica.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
6,Lecidea,Lecidea,False,2238,2239,12395,"No bryophytes were observed and lichen diversity was low; with Lecidea cacriformis being the most widely distributed lichen in the Lake Wellman (LW16.3, LW19, LW19.3) and Junction Spur sites (Table $2).",False,Antarctica,Antarctica,4177,4178,22707,22717,"Here, we suggest that carbon content, nutrient availability, and soil water content are secondary driving forces for biotic distribution, but that soil salinity, as a function of drift age, is the keystone driver of presence and distribution of biota in the Darwin Mountains of continental Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
7,Lecidea,Lecidea,False,2238,2239,12395,"No bryophytes were observed and lichen diversity was low; with Lecidea cacriformis being the most widely distributed lichen in the Lake Wellman (LW16.3, LW19, LW19.3) and Junction Spur sites (Table $2).",False,Antarctica,Antarctica,4263,4264,23215,23225,"However, in Antarctica we found that they have a more constrained distribution in the Darwin Mountains, with no detection (below the detection limit) of this group of organisms in 43% of the study sites.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
8,Lecidea,Lecidea,False,2238,2239,12395,"No bryophytes were observed and lichen diversity was low; with Lecidea cacriformis being the most widely distributed lichen in the Lake Wellman (LW16.3, LW19, LW19.3) and Junction Spur sites (Table $2).",False,Darwin Mountains,the Darwin Mountains,4275,4277,23289,23305,"However, in Antarctica we found that they have a more constrained distribution in the Darwin Mountains, with no detection (below the detection limit) of this group of organisms in 43% of the study sites.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
9,Lecidea,Lecidea,False,2238,2239,12395,"No bryophytes were observed and lichen diversity was low; with Lecidea cacriformis being the most widely distributed lichen in the Lake Wellman (LW16.3, LW19, LW19.3) and Junction Spur sites (Table $2).",False,Darwin Mountains,the Darwin Mountains,4997,4999,27364,27380,"In this study, the ages of the drift sheets were found to be key factors in driving biological diversity in the Darwin Mountains, with higher diversity and the occurrence of more complex communities (multitrophic) in the younger drifts characterized by weakly developed soils (weathering stage 1), with lower or no coherence and less total soluble salts content.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
