,Found as,Full name,InDefinitiveList,Start,End,PositionOfFirstToken,Sentence_species,InReferenceList,Location,Original Tokenised Text,Start_Token,End_Token,Start_Index,End_Index,Sentence_location,NZGazAnt,NZGaz,ScarNZ,ScarGlobal,GeoNamesNZ,GeoNamesAnt,GeoNames,exactMatch,Close_Match_NZGazAnt,Close_Match_NZGaz,Close_Match_ScarNZ,Close_Match_ScarGlobal,Close_Match_GeoNamesNZ,Close_Match_GeoNamesAnt,Close_Match,PartialMatch_NZGazAnt,PartialMatch_NZGaz,PartialMatch_ScarNZ,PartialMatch_ScarGlobal,PartialMatch_GeoNamesNZ,PartialMatch_GeoNamesAnt,PartialMatch,inNZ,inAntarctica,Found
0,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,1929,1931,13227,3 A = Gomphiocephalus hodgsoni network of 27 unique haplotypes coloured according to collection locations.,True,Antarctica,Antarctica,145,146,904,914,This thesis examines the genetic diversity of invertebrate groups from Antarctica and New Zealand to gain an understanding of current baseline levels of variability and to facilitate their use as indicators of environmental change.,False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
1,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,1929,1931,13227,3 A = Gomphiocephalus hodgsoni network of 27 unique haplotypes coloured according to collection locations.,True,Ross Sea,Ross Sea,436,438,2579,2587,"I also examined mitochondrial DNA (COD) sequences for three Antarctic springtail (Collembola) species collected from sites in the vicinity, and to the north of, the Mackay Glacier (77°S) within the Ross Sea region.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
2,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,1929,1931,13227,3 A = Gomphiocephalus hodgsoni network of 27 unique haplotypes coloured according to collection locations.,True,North and South Victoria Land,North and South Victoria Land,451,456,2672,2701,This area represents a transitional zone between two biogeographic regions (North and South Victoria Land).,False,False,False,False,False,False,False,False,,,,,,,False,Victoria Land,Victoria Land,Victoria Land,Victoria Land,,Victoria Land,True,True,True,True
3,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,1929,1931,13227,3 A = Gomphiocephalus hodgsoni network of 27 unique haplotypes coloured according to collection locations.,True,Western Antarctic Ice Sheet,the Western Antarctic Ice Sheet,524,528,3080,3107,"Based on molecular clock estimates, these divergent lineages were likely to have been isolated for 3-5 million years, a time when the Western Antarctic Ice Sheet (WAIS) was thought to have completely collapsed.",False,False,False,False,False,False,False,False,West Antarctic Ice Sheet,West Antarctic Ice Sheet,West Antarctic Ice Sheet,West Antarctic Ice Sheet,,West Antarctic Ice Sheet,True,,,,,,,False,True,True,True
4,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,1929,1931,13227,3 A = Gomphiocephalus hodgsoni network of 27 unique haplotypes coloured according to collection locations.,True,Antarctica,Antarctica,650,651,3862,3872,"il Acknowledgements First and foremost, I would like to thank my supervisor Ian Hogg for emailing me one day and asking if I wanted to go to Antarctica, and then saying if so, the proposal is due tomorrow.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
5,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,1929,1931,13227,3 A = Gomphiocephalus hodgsoni network of 27 unique haplotypes coloured according to collection locations.,True,Antarctica,Antarctica,739,740,4300,4310,Thank you to the New Zealand Antarctic Research Institute (NZARI) for the project funding that got our KO24 team to Antarctica and Antarctica New Zealand for logistical support and making sure we were appropriately equipped.,False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
6,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,1929,1931,13227,3 A = Gomphiocephalus hodgsoni network of 27 unique haplotypes coloured according to collection locations.,True,Antarctica,Antarctica,1649,1650,11786,11796,1 A = general map of Antarctica showing the study area (black box) within the Ross Sea region of the Ross Dependency.,False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
7,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,1929,1931,13227,3 A = Gomphiocephalus hodgsoni network of 27 unique haplotypes coloured according to collection locations.,True,Ross Sea,Ross Sea,1660,1662,11843,11851,1 A = general map of Antarctica showing the study area (black box) within the Ross Sea region of the Ross Dependency.,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
8,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,1929,1931,13227,3 A = Gomphiocephalus hodgsoni network of 27 unique haplotypes coloured according to collection locations.,True,Ross Sea,Ross Sea,3310,3312,21363,21371,"My second research chapter (Chapter III) assessed the fine scale diversity and distribution of three species of Antarctic Collembola found throughout and to the north of, the Mackay Glacier located within the Ross Sea region.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
9,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,1929,1931,13227,3 A = Gomphiocephalus hodgsoni network of 27 unique haplotypes coloured according to collection locations.,True,Antarctica,Antarctica,3314,3315,21380,21390,"Antarctica is subject to some of the harshest conditions on earth, which have resulted in the development of a highly adapted yet species-poor fauna (Convey 2011).",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
10,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,1929,1931,13227,3 A = Gomphiocephalus hodgsoni network of 27 unique haplotypes coloured according to collection locations.,True,Ross Sea Region,the Ross Sea Region,3430,3433,22003,22018,"Within the Ross Sea Region of Antarctica there are three currently recognised biogeographic zones; North Victoria Land, South Victoria Land and the Queen Maud Mountains (Terauds et al. 2012), each with three (and in one case four) unique and endemic species of springtail (Salmon 1965;",False,False,False,False,False,False,False,False,,,,,,,False,Ross Sea,Ross Sea,Ross Sea,Ross Sea,,Ross Sea,True,True,True,True
11,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,1929,1931,13227,3 A = Gomphiocephalus hodgsoni network of 27 unique haplotypes coloured according to collection locations.,True,Antarctica,Antarctica,3434,3435,22022,22032,"Within the Ross Sea Region of Antarctica there are three currently recognised biogeographic zones; North Victoria Land, South Victoria Land and the Queen Maud Mountains (Terauds et al. 2012), each with three (and in one case four) unique and endemic species of springtail (Salmon 1965;",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
12,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,1929,1931,13227,3 A = Gomphiocephalus hodgsoni network of 27 unique haplotypes coloured according to collection locations.,True,Western Antarctica,Western Antarctica,3682,3684,23321,23339,There has been a rapid warming of Western Antarctica by 2.5°C over the past 50 years (Turner et al. 2005; Steig et al. 2009).,False,False,False,False,False,False,False,False,,,,West Antarctica,,,True,,,,,,,False,False,True,True
13,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,1929,1931,13227,3 A = Gomphiocephalus hodgsoni network of 27 unique haplotypes coloured according to collection locations.,True,Antarctica,Antarctica,4004,4005,24943,24953,"Temperature-related activity of Gomphiocephalus hodgsoni (Collembola) mitochondrial DNA (COD haplotypes in Taylor Valley, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
14,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,1929,1931,13227,3 A = Gomphiocephalus hodgsoni network of 27 unique haplotypes coloured according to collection locations.,True,Antarctica,Antarctica,4376,4377,26723,26733,"McGaughran A, Hogg ID, Stevens MI (2008) Patterns of population genetic structure for springtails and mites in southern Victoria Land, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
15,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,1929,1931,13227,3 A = Gomphiocephalus hodgsoni network of 27 unique haplotypes coloured according to collection locations.,True,Southern Ocean Islands,the Southern Ocean Islands,4512,4515,27483,27505,Mite dispersal among the Southern Ocean Islands and Antarctica before the last glacial maximum.,False,False,False,False,False,False,False,False,,,,,,,False,Southern Ocean,Southern Ocean,,,,,True,True,True,True
