,Found as,Full name,InDefinitiveList,Start,End,PositionOfFirstToken,Sentence_species,InReferenceList,Location,Original Tokenised Text,Start_Token,End_Token,Start_Index,End_Index,Sentence_location,NZGazAnt,NZGaz,ScarNZ,ScarGlobal,GeoNamesNZ,GeoNamesAnt,GeoNames,exactMatch,Close_Match_NZGazAnt,Close_Match_NZGaz,Close_Match_ScarNZ,Close_Match_ScarGlobal,Close_Match_GeoNamesNZ,Close_Match_GeoNamesAnt,Close_Match,PartialMatch_NZGazAnt,PartialMatch_NZGaz,PartialMatch_ScarNZ,PartialMatch_ScarGlobal,PartialMatch_GeoNamesNZ,PartialMatch_GeoNamesAnt,PartialMatch,inNZ,inAntarctica,Found
0,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,145,147,846,"In several instances we found Gomphiocephalus hodgsoni, Neocryptopygus nivicolus and Stereotydeus mollis at sites where they were not reported in comprehensive surveys made some 40 years ago, which may imply recent range expansion (eg: local dispersal).",True,Antarctica,Antarctica,98,99,569,579,"Summary We provide new distributional records for the Collembola and Acari from south Victoria Land in the Ross Dependency, Antarctica, including the first extensive survey of Taylor Valley.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
1,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,145,147,846,"In several instances we found Gomphiocephalus hodgsoni, Neocryptopygus nivicolus and Stereotydeus mollis at sites where they were not reported in comprehensive surveys made some 40 years ago, which may imply recent range expansion (eg: local dispersal).",True,Antarctica,Antarctica,333,334,1875,1885,"The isolation and harsh environment of Antarctica have produced a unique polar desert that is now dominated by mosses, lichens and algae (Broady 1996; Seppelt & Green 1998).",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
2,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,145,147,846,"In several instances we found Gomphiocephalus hodgsoni, Neocryptopygus nivicolus and Stereotydeus mollis at sites where they were not reported in comprehensive surveys made some 40 years ago, which may imply recent range expansion (eg: local dispersal).",True,Hut Point Peninsula,Hut Point Peninsula,741,744,4007,4026,"In January 2000 we sampled at Beaufort Island, Cape Royds, Cape Evans, Garwood Valley, Miers Valley and re-examined Hut Point Peninsula (Fig. 1).",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
3,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,145,147,846,"In several instances we found Gomphiocephalus hodgsoni, Neocryptopygus nivicolus and Stereotydeus mollis at sites where they were not reported in comprehensive surveys made some 40 years ago, which may imply recent range expansion (eg: local dispersal).",True,Mount England,Mt. England,766,767,4117,4128,"From November 2000 to January 2001 we sampled at Cape Crozier, Granite Harbour, Mt. England, Springtail Point, Marble Point and Taylor Valley (Fig. 1).",True,True,True,True,False,False,False,True,,,,,,,,,,,,,,,True,True,True
4,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,145,147,846,"In several instances we found Gomphiocephalus hodgsoni, Neocryptopygus nivicolus and Stereotydeus mollis at sites where they were not reported in comprehensive surveys made some 40 years ago, which may imply recent range expansion (eg: local dispersal).",True,Antarctica,Antarctica,869,870,4675,4685,Distribution of Collembola and Acari in Antarctica 487,False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
5,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,145,147,846,"In several instances we found Gomphiocephalus hodgsoni, Neocryptopygus nivicolus and Stereotydeus mollis at sites where they were not reported in comprehensive surveys made some 40 years ago, which may imply recent range expansion (eg: local dispersal).",True,Ross Sea,Ross Sea,1082,1084,5763,5771,"Locations (solid circles) examined during 1998—2001 in the Ross Sea region Results Beaufort Island and Bratina Island Gomphiocephalus hodgsoni (Collembola) and Stereotydeus mollis (Acari) were very abundant in moss samples taken from Beaufort Island (site I1, Appendix).",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
6,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,145,147,846,"In several instances we found Gomphiocephalus hodgsoni, Neocryptopygus nivicolus and Stereotydeus mollis at sites where they were not reported in comprehensive surveys made some 40 years ago, which may imply recent range expansion (eg: local dispersal).",True,Bratina Island,Bratina Island,1128,1130,6022,6036,"By contrast, we found similar moss habitats on Bratina Island but did not find any evidence 488 Mark I. Stevens and lan D. Hogg Mouthpiece     tube     a Specimen a with suction Suction Rubber thread f gasket Vial (aspirator || | ~“\Mesh chamber)",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
7,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,145,147,846,"In several instances we found Gomphiocephalus hodgsoni, Neocryptopygus nivicolus and Stereotydeus mollis at sites where they were not reported in comprehensive surveys made some 40 years ago, which may imply recent range expansion (eg: local dispersal).",True,Bratina Island,Bratina Island,1209,1211,6457,6471,Further sampling in a number of other habitats on Bratina Island also revealed no evidence of either taxon.,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
8,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,145,147,846,"In several instances we found Gomphiocephalus hodgsoni, Neocryptopygus nivicolus and Stereotydeus mollis at sites where they were not reported in comprehensive surveys made some 40 years ago, which may imply recent range expansion (eg: local dispersal).",True,Cape Crozier,Cape Crozier,1241,1243,6611,6623,"Ross Island G. hodgsoni and S. mollis were both found at Cape Bird (site B1), at two sites from Cape Crozier (sites C1-2), at Cape Royds (sites R1-7), and at sites south of Cape Royds towards Cape Barne (sites R8-13).",True,True,True,True,False,False,False,True,,,,,,,,,,,,,,,True,True,True
9,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,145,147,846,"In several instances we found Gomphiocephalus hodgsoni, Neocryptopygus nivicolus and Stereotydeus mollis at sites where they were not reported in comprehensive surveys made some 40 years ago, which may imply recent range expansion (eg: local dispersal).",True,Hut Point Peninsula,Hut Point Peninsula,1344,1347,7047,7066,"On two occasions (January 1999, 2000) sites were examined around the McMurdo Station area on Hut Point Peninsula, Ross Island.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
