,Found as,Full name,InDefinitiveList,Start,End,PositionOfFirstToken,Sentence_species,InReferenceList,Location,Original Tokenised Text,Start_Token,End_Token,Start_Index,End_Index,Sentence_location,NZGazAnt,NZGaz,ScarNZ,ScarGlobal,GeoNamesNZ,GeoNamesAnt,GeoNames,exactMatch,Close_Match_NZGazAnt,Close_Match_NZGaz,Close_Match_ScarNZ,Close_Match_ScarGlobal,Close_Match_GeoNamesNZ,Close_Match_GeoNamesAnt,Close_Match,PartialMatch_NZGazAnt,PartialMatch_NZGaz,PartialMatch_ScarNZ,PartialMatch_ScarGlobal,PartialMatch_GeoNamesNZ,PartialMatch_GeoNamesAnt,PartialMatch,inNZ,inAntarctica,Found
0,Eudorylaimus,Eudorylaimus,False,460,461,2617,"Species richness of metazoan invertebrates (Nematoda, Tardigrada and Rotifera) was similar to previous descriptions in this region, though identification of three cryptic nematode species of Eudorylaimus through DNA analysis contributed to the understanding of controls over habitat preferences for individual species.",False,Antarctica,Antarctica,119,120,663,673,"Brigham Young University BYU ScholarsArchive   Faculty Publications 2006-09-01 Co-variation in soil biodiversity and biogeochemistry in northern and southern Victoria Land, Antarctica Byron J. Adams byron_adams@byu.edu J.E. Barrett Ross A. Virginia Diana H. Wall S. C. Cary See next page for additional authors Follow this and additional works at: https://scholarsarchive.byu.edu/facpub & Part of the Microbiology Commons BYU ScholarsArchive Citation Adams, Byron J.; Barrett, J. E.; Virginia, Ross A.; Wall, Diana H.; Cary, S. C.; Hacker, A. L.; and Aislabie, J. M., ""Co-variation in soil biodiversity and biogeochemistry in northern and southern Victoria Land, Antarctica’ (2006).",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
1,Eudorylaimus,Eudorylaimus,False,460,461,2617,"Species richness of metazoan invertebrates (Nematoda, Tardigrada and Rotifera) was similar to previous descriptions in this region, though identification of three cryptic nematode species of Eudorylaimus through DNA analysis contributed to the understanding of controls over habitat preferences for individual species.",False,Antarctic Victoria Land,the Antarctic Victoria Land,634,637,3837,3860,"Received 24 May 2006 , accepted 16 August 2006 Key words: habitat suitability, invertebrate diversity, Latitudinal Gradient Project, microbial diversity, nematodes Introduction Terrestrial ecosystems along the Antarctic Victoria Land coast, from the McMurdo Dry Valleys in the south (78-76°S) to Cape Adare (71°S) in the north, occur across broad scale gradients of biodiversity, climate, and soil properties (Barrett et al. 2006).",False,False,False,False,False,False,False,False,,,,,,,False,Victoria Land,Victoria Land,Victoria Land,Victoria Land,,Victoria Land,True,True,True,True
2,Eudorylaimus,Eudorylaimus,False,460,461,2617,"Species richness of metazoan invertebrates (Nematoda, Tardigrada and Rotifera) was similar to previous descriptions in this region, though identification of three cryptic nematode species of Eudorylaimus through DNA analysis contributed to the understanding of controls over habitat preferences for individual species.",False,Antarctica,Antarctica,961,962,5632,5642,"Freeliving soil nematodes and tardigrades are the most abundant and widely distributed animals in continental Antarctica (Freckman & Virginia 1997, Petz 1997, Sinclair 2001, Convey & Wynn-Williams 2002, Sohlenius ef al. 2004, Convey & McInnes 2005, Adams et al. 2006).",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
3,Eudorylaimus,Eudorylaimus,False,460,461,2617,"Species richness of metazoan invertebrates (Nematoda, Tardigrada and Rotifera) was similar to previous descriptions in this region, though identification of three cryptic nematode species of Eudorylaimus through DNA analysis contributed to the understanding of controls over habitat preferences for individual species.",False,Antarctica,Antarctica,1366,1367,7644,7654,"Here we report on work conducted at six sites in northern and southern Victoria Land (Fig. 1), Antarctica in December and January of 2003—2004 (Table I).",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
4,Eudorylaimus,Eudorylaimus,False,460,461,2617,"Species richness of metazoan invertebrates (Nematoda, Tardigrada and Rotifera) was similar to previous descriptions in this region, though identification of three cryptic nematode species of Eudorylaimus through DNA analysis contributed to the understanding of controls over habitat preferences for individual species.",False,Taylor Valley,Taylor Valley,3637,3639,18975,18988,Nematode diversity (H’) was lowest at the extreme ends of the soil productivity gradient at Von Guerard Stream in Taylor Valley and from the most organic rich soils on SeaBee Spit at Cape Hallett (Fig.,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
5,Eudorylaimus,Eudorylaimus,False,460,461,2617,"Species richness of metazoan invertebrates (Nematoda, Tardigrada and Rotifera) was similar to previous descriptions in this region, though identification of three cryptic nematode species of Eudorylaimus through DNA analysis contributed to the understanding of controls over habitat preferences for individual species.",False,Taylor Valley,the Taylor Valley,4038,4040,20793,20806,"Ninety percent of soils from the Taylor Valley transects near Von Guerard Stream and Green Creek, 95—100% of soil from Luther Vale and 70—90% of the samples examined from Cape Hallett contained nematodes.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
6,Eudorylaimus,Eudorylaimus,False,460,461,2617,"Species richness of metazoan invertebrates (Nematoda, Tardigrada and Rotifera) was similar to previous descriptions in this region, though identification of three cryptic nematode species of Eudorylaimus through DNA analysis contributed to the understanding of controls over habitat preferences for individual species.",False,Taylor Valley,Taylor Valley,6105,6107,32040,32053,"Our data indicate that the largest disparities in N source pools are between soils from Cape Hallett which are influenced by marine N sources, and those from Taylor Valley which have atmospheric to slightly depleted values (Fig. 2).",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
7,Eudorylaimus,Eudorylaimus,False,460,461,2617,"Species richness of metazoan invertebrates (Nematoda, Tardigrada and Rotifera) was similar to previous descriptions in this region, though identification of three cryptic nematode species of Eudorylaimus through DNA analysis contributed to the understanding of controls over habitat preferences for individual species.",False,Antarctica,Antarctica,7514,7515,39925,39935,"Dominant bacterial groups in soils of Marble Point and Wright Valley, Victoria Land, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
8,Eudorylaimus,Eudorylaimus,False,460,461,2617,"Species richness of metazoan invertebrates (Nematoda, Tardigrada and Rotifera) was similar to previous descriptions in this region, though identification of three cryptic nematode species of Eudorylaimus through DNA analysis contributed to the understanding of controls over habitat preferences for individual species.",False,Antarctica,Antarctica,7583,7584,40236,40246,"Ecological processes in a cold desert ecosystem: the abundance and species of algal mats in glacial meltwater streams in Taylor Valley, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
9,Eudorylaimus,Eudorylaimus,False,460,461,2617,"Species richness of metazoan invertebrates (Nematoda, Tardigrada and Rotifera) was similar to previous descriptions in this region, though identification of three cryptic nematode species of Eudorylaimus through DNA analysis contributed to the understanding of controls over habitat preferences for individual species.",False,Antarctica,Antarctica,7752,7753,41047,41057,"Solution geochemistry and behaviour of major and trace elements during summer in a moss community at Edmonson Point, Victoria Land, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
