,Found as,Full name,InDefinitiveList,Start,End,PositionOfFirstToken,Sentence_species,InReferenceList,Location,Original Tokenised Text,Start_Token,End_Token,Start_Index,End_Index,Sentence_location,NZGazAnt,NZGaz,ScarNZ,ScarGlobal,GeoNamesNZ,GeoNamesAnt,GeoNames,exactMatch,Close_Match_NZGazAnt,Close_Match_NZGaz,Close_Match_ScarNZ,Close_Match_ScarGlobal,Close_Match_GeoNamesNZ,Close_Match_GeoNamesAnt,Close_Match,PartialMatch_NZGazAnt,PartialMatch_NZGaz,PartialMatch_ScarNZ,PartialMatch_ScarGlobal,PartialMatch_GeoNamesNZ,PartialMatch_GeoNamesAnt,PartialMatch,inNZ,inAntarctica,Found
0,Plectus murrayi,Plectus murrayi,True,1203,1205,6981,"The three most ‘Te processes that structure biological communities have common MDV nematode species are Plectus murrayi, Eudorylaimus antarcticus, and Scottnema lindsayae*®-*!, hereafter referred to by only their genus.",True,Antarctica,Antarctica,136,137,729,739,We modelled co-occurrence and distribution of the three nematode species that dominate the soil food web of the McMurdo Dry Valleys (Antarctica).,False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
1,Plectus murrayi,Plectus murrayi,True,1203,1205,6981,"The three most ‘Te processes that structure biological communities have common MDV nematode species are Plectus murrayi, Eudorylaimus antarcticus, and Scottnema lindsayae*®-*!, hereafter referred to by only their genus.",True,Antarctica,Antarctica,975,976,5688,5698,"To address this challenge in the present study, we targeted the soil ecosystem of the McMurdo Dry Valleys (MDVs) of Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
2,Plectus murrayi,Plectus murrayi,True,1203,1205,6981,"The three most ‘Te processes that structure biological communities have common MDV nematode species are Plectus murrayi, Eudorylaimus antarcticus, and Scottnema lindsayae*®-*!, hereafter referred to by only their genus.",True,Dry Valley,Dry Valley,5264,5266,30131,30141,The study is among the most comprehensive landscape-scale biodiversity surveys undertaken and includes nearly all trophic components found in the Dry Valley ecosystem.,True,True,False,False,False,False,False,True,,,,,,,,,,,,,,,True,True,True
3,Plectus murrayi,Plectus murrayi,True,1203,1205,6981,"The three most ‘Te processes that structure biological communities have common MDV nematode species are Plectus murrayi, Eudorylaimus antarcticus, and Scottnema lindsayae*®-*!, hereafter referred to by only their genus.",True,Antarctica,Antarctica,8344,8345,45464,45474,"Terrestrial ecosystem processes of Victoria Land, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
4,Plectus murrayi,Plectus murrayi,True,1203,1205,6981,"The three most ‘Te processes that structure biological communities have common MDV nematode species are Plectus murrayi, Eudorylaimus antarcticus, and Scottnema lindsayae*®-*!, hereafter referred to by only their genus.",True,Antarctica,Antarctica,8639,8640,46716,46726,"Bostrém, S., Holovachov, O. & Nadler, S. A. Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and its phylogenetic relationship.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
5,Plectus murrayi,Plectus murrayi,True,1203,1205,6981,"The three most ‘Te processes that structure biological communities have common MDV nematode species are Plectus murrayi, Eudorylaimus antarcticus, and Scottnema lindsayae*®-*!, hereafter referred to by only their genus.",True,Antarctica,Antarctica,8691,8692,46931,46941,"Adams, B. J., Wall, D. H., Virginia, R. A., Broos, E. & Knox, M. A. Ecological biogeography of the terrestrial nematodes of Victoria Land, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
6,Plectus murrayi,Plectus murrayi,True,1203,1205,6981,"The three most ‘Te processes that structure biological communities have common MDV nematode species are Plectus murrayi, Eudorylaimus antarcticus, and Scottnema lindsayae*®-*!, hereafter referred to by only their genus.",True,Antarctica,Antarctica,8729,8730,47156,47166,"Courtright, E. M., Wall, D. H. & Virginia, R. A. Determining habitat suitability for soil invertebrates in an extreme environment: the McMurdo Dry Valleys, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
7,Plectus murrayi,Plectus murrayi,True,1203,1205,6981,"The three most ‘Te processes that structure biological communities have common MDV nematode species are Plectus murrayi, Eudorylaimus antarcticus, and Scottnema lindsayae*®-*!, hereafter referred to by only their genus.",True,Antarctic Dry Valley,Antarctic Dry Valley,8801,8804,47485,47505,"Overhoff, A., Freckman, D. W. & Virginia, R. A. Life cycle of the microbivorous Antarctic Dry Valley nematode Scottnema lindsayae (Timm 1971).",False,False,False,False,False,False,False,False,,,,,,,False,Dry Valley,Dry Valley,,,,,True,True,True,True
8,Plectus murrayi,Plectus murrayi,True,1203,1205,6981,"The three most ‘Te processes that structure biological communities have common MDV nematode species are Plectus murrayi, Eudorylaimus antarcticus, and Scottnema lindsayae*®-*!, hereafter referred to by only their genus.",True,Antarctica,Antarctica,8949,8950,48109,48119,"Stable C and N isotope ratios reveal soil food web structure and identify the nematode Eudorylaimus antarcticus as an omnivore-predator in Taylor Valley, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
9,Plectus murrayi,Plectus murrayi,True,1203,1205,6981,"The three most ‘Te processes that structure biological communities have common MDV nematode species are Plectus murrayi, Eudorylaimus antarcticus, and Scottnema lindsayae*®-*!, hereafter referred to by only their genus.",True,Antarctic Dry Valley,Antarctic Dry Valley,9219,9222,49186,49206,"Treonis, A. M., Wall, D. H. & Virginia, R. A. Invertebrate biodiversity in Antarctic Dry Valley soils and sediments.",False,False,False,False,False,False,False,False,,,,,,,False,Dry Valley,Dry Valley,,,,,True,True,True,True
