,Found as,Full name,InDefinitiveList,Start,End,PositionOfFirstToken,Sentence_species,InReferenceList,Location,Original Tokenised Text,Start_Token,End_Token,Start_Index,End_Index,Sentence_location,NZGazAnt,NZGaz,ScarNZ,ScarGlobal,GeoNamesNZ,GeoNamesAnt,GeoNames,exactMatch,Close_Match_NZGazAnt,Close_Match_NZGaz,Close_Match_ScarNZ,Close_Match_ScarGlobal,Close_Match_GeoNamesNZ,Close_Match_GeoNamesAnt,Close_Match,PartialMatch_NZGazAnt,PartialMatch_NZGaz,PartialMatch_ScarNZ,PartialMatch_ScarGlobal,PartialMatch_GeoNamesNZ,PartialMatch_GeoNamesAnt,PartialMatch,inNZ,inAntarctica,Found
0,Hemichloris antarctica,Hemichloris antarctica,True,2908,2910,15785,Free-living algal cells resembling Hemichloris antarctica were also observed beneath lichen symbionts (black asterisks in Fig. 2b).,True,Antarctica,Antarctica,34,35,174,184,"Polar Biol (2017) 40:997—1006 DOI 10.1007/s00300-016-2024-9 ORIGINAL PAPER @® CrossMark Endolithic microbial diversity in sandstone and granite from the McMurdo Dry Valleys, Antarctica Stephen D. J. Archer’?",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
1,Hemichloris antarctica,Hemichloris antarctica,True,2908,2910,15785,Free-living algal cells resembling Hemichloris antarctica were also observed beneath lichen symbionts (black asterisks in Fig. 2b).,True,Antarctica,Antarctica,121,122,604,614,Abstract Cryptic microbial communities develop within rocky substrates in Antarctica’s McMurdo Dry Valleys as a stress avoidance strategy.,False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
2,Hemichloris antarctica,Hemichloris antarctica,True,2908,2910,15785,Free-living algal cells resembling Hemichloris antarctica were also observed beneath lichen symbionts (black asterisks in Fig. 2b).,True,Antarctica,Antarctica,478,479,2806,2816,"The McMurdo Dry Valleys are the largest ice-free terrestrial environment in Antarctica and comprise the coldest, driest and windiest desert on Earth (Wynn-Williams 1990; Moorhead et al. 1999;",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
3,Hemichloris antarctica,Hemichloris antarctica,True,2908,2910,15785,Free-living algal cells resembling Hemichloris antarctica were also observed beneath lichen symbionts (black asterisks in Fig. 2b).,True,Antarctica,Antarctica,1287,1288,7155,7165,"Here we report a study to identify the taxonomic diversity within coloured bands of cryptoendolithic and chasmoendolithic communities (collectively referred to herein as endoliths) for the McMurdo Dry Valleys, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
4,Hemichloris antarctica,Hemichloris antarctica,True,2908,2910,15785,Free-living algal cells resembling Hemichloris antarctica were also observed beneath lichen symbionts (black asterisks in Fig. 2b).,True,University Valley,University Valley,1364,1366,7662,7679,These comprised a cryptoendolithic community inhabiting a heavily weathered sandstone cliff in University Valley (December 2009) and chasmoendolithic communities occurring in weathered sandstone boulders on the valley floor of McKelvey Valley (December 2008) and weathered granite boulders on the valley floor of Miers Valley (January 2010).,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
5,Hemichloris antarctica,Hemichloris antarctica,True,2908,2910,15785,Free-living algal cells resembling Hemichloris antarctica were also observed beneath lichen symbionts (black asterisks in Fig. 2b).,True,Miers Valley,Miers Valley,1398,1400,7880,7892,These comprised a cryptoendolithic community inhabiting a heavily weathered sandstone cliff in University Valley (December 2009) and chasmoendolithic communities occurring in weathered sandstone boulders on the valley floor of McKelvey Valley (December 2008) and weathered granite boulders on the valley floor of Miers Valley (January 2010).,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
6,Hemichloris antarctica,Hemichloris antarctica,True,2908,2910,15785,Free-living algal cells resembling Hemichloris antarctica were also observed beneath lichen symbionts (black asterisks in Fig. 2b).,True,Antarctic Dry Valley,Antarctic Dry Valley,2113,2116,11242,11262,"Templates for positive and negative PCR control amplifications consisted of 5 ul of DNA from Antarctic Dry Valley hyporheic soil microbial mat and DEPC-treated water, respectively.",False,False,False,False,False,False,False,False,,,,,,,False,Dry Valley,Dry Valley,,,,,True,True,True,True
7,Hemichloris antarctica,Hemichloris antarctica,True,2908,2910,15785,Free-living algal cells resembling Hemichloris antarctica were also observed beneath lichen symbionts (black asterisks in Fig. 2b).,True,University Valley,University Valley,2786,2788,15067,15084,"Results A visual assessment of colonised rock was made for weathered sandstone cliffs (University Valley), sandstone boulders (McKelvey Valley) and granite boulders (Miers Valley) (Fig. 1).",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
8,Hemichloris antarctica,Hemichloris antarctica,True,2908,2910,15785,Free-living algal cells resembling Hemichloris antarctica were also observed beneath lichen symbionts (black asterisks in Fig. 2b).,True,University Valley,University Valley,2842,2844,15400,15417,"For University Valley samples, the different colour bands were dominated by distinct morphotypes, although co-occurrence of these in different coloured bands made differentiation of diversity between bands somewhat diffuse (Fig. 2a).",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
9,Hemichloris antarctica,Hemichloris antarctica,True,2908,2910,15785,Free-living algal cells resembling Hemichloris antarctica were also observed beneath lichen symbionts (black asterisks in Fig. 2b).,True,University Valley,University Valley,3301,3303,17876,17893,The strongest variation occurred between University Valley and the other valleys across axis PC1.,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
10,Hemichloris antarctica,Hemichloris antarctica,True,2908,2910,15785,Free-living algal cells resembling Hemichloris antarctica were also observed beneath lichen symbionts (black asterisks in Fig. 2b).,True,University Valley,University Valley,3324,3326,18021,18038,"The next strongest variance in community structure occurred across axis PC2, separating University Valley endolith samples.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
11,Hemichloris antarctica,Hemichloris antarctica,True,2908,2910,15785,Free-living algal cells resembling Hemichloris antarctica were also observed beneath lichen symbionts (black asterisks in Fig. 2b).,True,University Valley,University Valley,3428,3430,18583,18600,"The Scytonemataceae (Nostocales) were the dominant taxa in McKelvey Valley sandstone cryptoendoliths (samples D, E) and Miers Valley granite chasmoendoliths (samples F, G), but absent in the University Valley cryptoendoliths (samples A, B).",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
12,Hemichloris antarctica,Hemichloris antarctica,True,2908,2910,15785,Free-living algal cells resembling Hemichloris antarctica were also observed beneath lichen symbionts (black asterisks in Fig. 2b).,True,University Valley,University Valley,3450,3452,18712,18729,"A different polyphyletic suite of cyanobacteria was dominant in green bands of University Valley endoliths, although they did also occur with low abundance in McKelvey and Miers samples.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
13,Hemichloris antarctica,Hemichloris antarctica,True,2908,2910,15785,Free-living algal cells resembling Hemichloris antarctica were also observed beneath lichen symbionts (black asterisks in Fig. 2b).,True,University Valley,University Valley,3507,3509,19049,19066,These differences in dominant Cyanobacteria mirror the PCoA observations (Fig. 3) where there is greater variance between University Valley and the other two valleys across axis PC1 as well as the similarity of Miers and McKelvey valleys and the difference between University Valley endolith samples A and B on axis 2.,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
14,Hemichloris antarctica,Hemichloris antarctica,True,2908,2910,15785,Free-living algal cells resembling Hemichloris antarctica were also observed beneath lichen symbionts (black asterisks in Fig. 2b).,True,University Valley,University Valley,3531,3533,19192,19209,These differences in dominant Cyanobacteria mirror the PCoA observations (Fig. 3) where there is greater variance between University Valley and the other two valleys across axis PC1 as well as the similarity of Miers and McKelvey valleys and the difference between University Valley endolith samples A and B on axis 2.,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
15,Hemichloris antarctica,Hemichloris antarctica,True,2908,2910,15785,Free-living algal cells resembling Hemichloris antarctica were also observed beneath lichen symbionts (black asterisks in Fig. 2b).,True,Antarctica,Antarctica,3564,3565,19367,19377,"1 Substrates for endolithic microbial colonisation in the McMurdo Dry Valleys, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
16,Hemichloris antarctica,Hemichloris antarctica,True,2908,2910,15785,Free-living algal cells resembling Hemichloris antarctica were also observed beneath lichen symbionts (black asterisks in Fig. 2b).,True,University Valley,University Valley,3571,3573,19410,19427,a Weathered sandstone cliff in University Valley.,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
17,Hemichloris antarctica,Hemichloris antarctica,True,2908,2910,15785,Free-living algal cells resembling Hemichloris antarctica were also observed beneath lichen symbionts (black asterisks in Fig. 2b).,True,University Valley,University Valley,3578,3580,19454,19471,b Colonised sandstone in University Valley.,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
18,Hemichloris antarctica,Hemichloris antarctica,True,2908,2910,15785,Free-living algal cells resembling Hemichloris antarctica were also observed beneath lichen symbionts (black asterisks in Fig. 2b).,True,University Valley,University Valley,3605,3607,19618,19635,"For example, one green band from University Valley was dominated by two unidentified cyanobacterial taxa, and these were absent in all other samples, and a Leptolyngbyalike taxon was detected only in one sample (sample A) from University Valley (Fig. 4).",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
19,Hemichloris antarctica,Hemichloris antarctica,True,2908,2910,15785,Free-living algal cells resembling Hemichloris antarctica were also observed beneath lichen symbionts (black asterisks in Fig. 2b).,True,University Valley,University Valley,3639,3641,19812,19829,"For example, one green band from University Valley was dominated by two unidentified cyanobacterial taxa, and these were absent in all other samples, and a Leptolyngbyalike taxon was detected only in one sample (sample A) from University Valley (Fig. 4).",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
20,Hemichloris antarctica,Hemichloris antarctica,True,2908,2910,15785,Free-living algal cells resembling Hemichloris antarctica were also observed beneath lichen symbionts (black asterisks in Fig. 2b).,True,Miers Valley,Miers Valley,3677,3679,20036,20048,"The Actinobacteria, Bacteriodetes and Chloroflexi were present in all samples with Proteobacteria only absent in one Miers Valley granite green band (sample G).",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
21,Hemichloris antarctica,Hemichloris antarctica,True,2908,2910,15785,Free-living algal cells resembling Hemichloris antarctica were also observed beneath lichen symbionts (black asterisks in Fig. 2b).,True,University Valley,University Valley,3693,3695,20124,20141,"The most abundant heterotrophic bacteria in University Valley samples were alpha proteobacteria, whereas actinobacteria were the most abundant heterotrophs in all samples from McKelvey and Miers valleys.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
22,Hemichloris antarctica,Hemichloris antarctica,True,2908,2910,15785,Free-living algal cells resembling Hemichloris antarctica were also observed beneath lichen symbionts (black asterisks in Fig. 2b).,True,University Valley,University Valley,3768,3770,20600,20617,All scale bars represent 20 mm Other notable differences were the relative abundance of photosynthetic chloroflexi in McKelvey and Miers valleys and the abundance of Lentisphaerae in a single University Valley sample.,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
23,Hemichloris antarctica,Hemichloris antarctica,True,2908,2910,15785,Free-living algal cells resembling Hemichloris antarctica were also observed beneath lichen symbionts (black asterisks in Fig. 2b).,True,University Valley,University Valley,3895,3897,21339,21356,a Cryptoendolithic microbial community in between sandstone grains (S) from University Valley.,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
24,Hemichloris antarctica,Hemichloris antarctica,True,2908,2910,15785,Free-living algal cells resembling Hemichloris antarctica were also observed beneath lichen symbionts (black asterisks in Fig. 2b).,True,University Valley,University Valley,3965,3967,21708,21725,"¢ Chasmoendolithic microbial community from Miers Diplosphaera sp.), were present in McKelvey and Miers valleys but was absent in University Valley, whilst the most abundant algal taxon in University Valley corresponded to a free-living alga (100% identity to Hemichloris antarctica), which was absent in McKelvey and Miers Valleys.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
25,Hemichloris antarctica,Hemichloris antarctica,True,2908,2910,15785,Free-living algal cells resembling Hemichloris antarctica were also observed beneath lichen symbionts (black asterisks in Fig. 2b).,True,University Valley,University Valley,3975,3977,21767,21784,"¢ Chasmoendolithic microbial community from Miers Diplosphaera sp.), were present in McKelvey and Miers valleys but was absent in University Valley, whilst the most abundant algal taxon in University Valley corresponded to a free-living alga (100% identity to Hemichloris antarctica), which was absent in McKelvey and Miers Valleys.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
26,Hemichloris antarctica,Hemichloris antarctica,True,2908,2910,15785,Free-living algal cells resembling Hemichloris antarctica were also observed beneath lichen symbionts (black asterisks in Fig. 2b).,True,University Valley,University Valley,4053,4055,22198,22215,"Lichen-forming ascomycetes (Lecidea genus) were detected only in University Valley, whilst non-lichenforming ascomycetes were detected in University and McKelvey valleys.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
