,Found as,Full name,InDefinitiveList,Start,End,PositionOfFirstToken,Sentence_species,InReferenceList,Location,Original Tokenised Text,Start_Token,End_Token,Start_Index,End_Index,Sentence_location,NZGazAnt,NZGaz,ScarNZ,ScarGlobal,GeoNamesNZ,GeoNamesAnt,GeoNames,exactMatch,Close_Match_NZGazAnt,Close_Match_NZGaz,Close_Match_ScarNZ,Close_Match_ScarGlobal,Close_Match_GeoNamesNZ,Close_Match_GeoNamesAnt,Close_Match,PartialMatch_NZGazAnt,PartialMatch_NZGaz,PartialMatch_ScarNZ,PartialMatch_ScarGlobal,PartialMatch_GeoNamesNZ,PartialMatch_GeoNamesAnt,PartialMatch,inNZ,inAntarctica,Found
0,Leptolyngbya,Leptolyngbya,False,6730,6731,34716,"On sample T1, Leptolyngbya and Pseudanabaena genera were well represented while in sample T2, the genus Phormidium was the most abundant (Figure 4).",False,Antarctica,Antarctica,367,368,1935,1945,"doi: 10.3389/fmicb.2019.01018 Bacterial diversity from McMurdo Dry Valleys in Antarctica, the coldest desert on earth, has become more easily assessed with the development of High Throughput Sequencing (HTS) techniques.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
1,Leptolyngbya,Leptolyngbya,False,6730,6731,34716,"On sample T1, Leptolyngbya and Pseudanabaena genera were well represented while in sample T2, the genus Phormidium was the most abundant (Figure 4).",False,Victoria Valley,Victoria Valley,431,433,2325,2340,"In this study, we combine cultivation and HIS techniques to survey actinobacteria and cyanobacteria diversity along different soll and endolithic micro-environments of Victoria Valley in McMurdo Dry Valleys.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
2,Leptolyngbya,Leptolyngbya,False,6730,6731,34716,"On sample T1, Leptolyngbya and Pseudanabaena genera were well represented while in sample T2, the genus Phormidium was the most abundant (Figure 4).",False,Antarctica,Antarctica,800,801,4618,4628,"The continent of Antarctica comprises about 0.34% ice-free areas (Convey, 2011) characterized by extreme cold and dry conditions (Wierzchos et al., 2004).",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
3,Leptolyngbya,Leptolyngbya,False,6730,6731,34716,"On sample T1, Leptolyngbya and Pseudanabaena genera were well represented while in sample T2, the genus Phormidium was the most abundant (Figure 4).",False,Victoria Valley,Victoria Valley,1916,1918,10383,10398,Bacterial Diversity in Antarctic Microenvironments      FIGURE 1 | Location of sampling points in Victoria Valley (transect soil samples marked in red and endolithic sample in green).,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
4,Leptolyngbya,Leptolyngbya,False,6730,6731,34716,"On sample T1, Leptolyngbya and Pseudanabaena genera were well represented while in sample T2, the genus Phormidium was the most abundant (Figure 4).",False,Victoria Valley,Victoria Valley,2213,2215,12031,12046,"MATERIALS AND METHODS Samples Location and Collection Substrate from a rock with endolithic colonization (END) and from a soil transect with a gradient of water availability were collected in Victoria Valley during the K020 Mission in January 2013, integrated in the NZTABS international program.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
5,Leptolyngbya,Leptolyngbya,False,6730,6731,34716,"On sample T1, Leptolyngbya and Pseudanabaena genera were well represented while in sample T2, the genus Phormidium was the most abundant (Figure 4).",False,Victoria Valley - Lake,the Victoria Valley - Lake,2264,2268,12304,12326,"For the transect, a total of six sites between T1 and T6 were sampled from a 32 m transect with increasing distance from a water pond near the main water source in the Victoria Valley - Lake Vida (Figure 1 and Table 1).",False,False,False,False,False,False,False,False,,,,,,,False,Victoria Valley,Victoria Valley,Victoria Valley,Victoria Valley,,Victoria Valley,True,True,True,True
6,Leptolyngbya,Leptolyngbya,False,6730,6731,34716,"On sample T1, Leptolyngbya and Pseudanabaena genera were well represented while in sample T2, the genus Phormidium was the most abundant (Figure 4).",False,Dry Valley,Dry Valley,2415,2417,13059,13069,"  TABLE 1 | Variation of soil characteristics across the Dry Valley soil transect, including water availability (Aw), DH and conductivity (cond).",True,True,False,False,False,False,False,True,,,,,,,,,,,,,,,True,True,True
7,Leptolyngbya,Leptolyngbya,False,6730,6731,34716,"On sample T1, Leptolyngbya and Pseudanabaena genera were well represented while in sample T2, the genus Phormidium was the most abundant (Figure 4).",False,Victoria Valley,Victoria Valley,3041,3043,16282,16297,"Isolation of Actinobacteria and Cyanobacteria Some of the environmental samples that were collected in Victoria Valley were also used for bacterial isolation, based on their composition as estimated by HTS.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
8,Leptolyngbya,Leptolyngbya,False,6730,6731,34716,"On sample T1, Leptolyngbya and Pseudanabaena genera were well represented while in sample T2, the genus Phormidium was the most abundant (Figure 4).",False,Antarctica,Antarctica,3350,3351,17915,17925,"The dilutions were plated onto an oligotrophic medium - Nutrient-poor sediment extract (NPS) - primarily made with an extract from the original Antarctica soil sample and then with sand collected from a beach in northern Portugal (Francelos Beach, Vila Nova de Gaia, Portugal), to simulate the oligotrophic environmental conditions.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
9,Leptolyngbya,Leptolyngbya,False,6730,6731,34716,"On sample T1, Leptolyngbya and Pseudanabaena genera were well represented while in sample T2, the genus Phormidium was the most abundant (Figure 4).",False,Antarctic Dry Valley,Antarctic Dry Valley,8256,8259,42887,42907,"However, molecular-based phylogenetic studies have revealed microbial diversity of Antarctic Dry Valley as remarkably high (Smith et al., 2006).",False,False,False,False,False,False,False,False,,,,,,,False,Dry Valley,Dry Valley,,,,,True,True,True,True
