,Found as,Full name,InDefinitiveList,Start,End,PositionOfFirstToken,Sentence_species,InReferenceList,Location,Original Tokenised Text,Start_Token,End_Token,Start_Index,End_Index,Sentence_location,NZGazAnt,NZGaz,ScarNZ,ScarGlobal,GeoNamesNZ,GeoNamesAnt,GeoNames,exactMatch,Close_Match_NZGazAnt,Close_Match_NZGaz,Close_Match_ScarNZ,Close_Match_ScarGlobal,Close_Match_GeoNamesNZ,Close_Match_GeoNamesAnt,Close_Match,PartialMatch_NZGazAnt,PartialMatch_NZGaz,PartialMatch_ScarNZ,PartialMatch_ScarGlobal,PartialMatch_GeoNamesNZ,PartialMatch_GeoNamesAnt,PartialMatch,inNZ,inAntarctica,Found
0,Nostoc,Nostoc,False,2819,2820,13214,A steep 200 m bouldery section follows (Fig. 2) and at its lower reaches on the edge of L. Fryxell the stream spreads out across a dense Nostoc community growing as thick mats on a sandy substrate.,False,Antarctica,Antarctica,101,102,562,572,"Abstract The variability in physical, chemical and biological properties was examined fora numberof glacier melt streams in south Victoria Land, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
1,Nostoc,Nostoc,False,2819,2820,13214,A steep 200 m bouldery section follows (Fig. 2) and at its lower reaches on the edge of L. Fryxell the stream spreads out across a dense Nostoc community growing as thick mats on a sandy substrate.,False,Antarctica,Antarctica,798,799,3608,3618,Introduction Stream ecosystems are a seasonal feature of Antarctica.,False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
2,Nostoc,Nostoc,False,2819,2820,13214,A steep 200 m bouldery section follows (Fig. 2) and at its lower reaches on the edge of L. Fryxell the stream spreads out across a dense Nostoc community growing as thick mats on a sandy substrate.,False,Antarctica,Antarctica,1103,1104,5238,5248,"Until recently these streams have been a neglected aspect of biological studies in Antarctica (PARKER 1981, VINCENT and VINCENT in press).",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
3,Nostoc,Nostoc,False,2819,2820,13214,A steep 200 m bouldery section follows (Fig. 2) and at its lower reaches on the edge of L. Fryxell the stream spreads out across a dense Nostoc community growing as thick mats on a sandy substrate.,False,Onyx River,the Onyx River,1131,1133,5401,5411,"A detailed sequence of hydrological measurements is available for the largest Antarctic flowing water, the Onyx River (Curnn 1974, Curnn 1981) and notes on hydrological changes in smaller streams are given in Heywoop (1977),",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
4,Nostoc,Nostoc,False,2819,2820,13214,A steep 200 m bouldery section follows (Fig. 2) and at its lower reaches on the edge of L. Fryxell the stream spreads out across a dense Nostoc community growing as thick mats on a sandy substrate.,False,Dry Valley,Dry Valley,1175,1177,5590,5600,"xeochemical attributes of Dry Valley streams and their influence on the chemistry of inland lakes have been examined (Torn e al. 1971, Horun et al. 1977, CANFIELD and GREEN 1983,",True,True,False,False,False,False,False,True,,,,,,,,,,,,,,,True,True,True
5,Nostoc,Nostoc,False,2819,2820,13214,A steep 200 m bouldery section follows (Fig. 2) and at its lower reaches on the edge of L. Fryxell the stream spreads out across a dense Nostoc community growing as thick mats on a sandy substrate.,False,Onyx River,Onyx River,1525,1527,7192,7202,Onyx River.,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
6,Nostoc,Nostoc,False,2819,2820,13214,A steep 200 m bouldery section follows (Fig. 2) and at its lower reaches on the edge of L. Fryxell the stream spreads out across a dense Nostoc community growing as thick mats on a sandy substrate.,False,Onyx River,Onyx River,1582,1584,7479,7489,These were: Northern Rookery Stream (Cape Bird); Adams Stream (Miers Valley); Whangamata Stream (Taylor Valley); Fryxell Stream (Taylor Valley); Onyx River (Wright Valley).,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
7,Nostoc,Nostoc,False,2819,2820,13214,A steep 200 m bouldery section follows (Fig. 2) and at its lower reaches on the edge of L. Fryxell the stream spreads out across a dense Nostoc community growing as thick mats on a sandy substrate.,False,Lake Lake Lake Lake Lake Miers Fryxell,Lake Lake Lake Lake Lake Miers Fryxell,1712,1719,8159,8197,Stream Feature Northern Adams Whanga- Fryxell Onyx upper Onyx main Rookery mata section section Location Cape Bird Miers Taylor Taylor Wright Wright Valley Valley Valley Valley Valley Reference 77.13 8 78.08 § 77.35 8 77.37 § 77.248 77.30 § (deg. min) 166.25 E 163.53 E 163.15 E 163.02 E 162.50 KE 162.15 E Source glacier Mt Bird Adams Common- Canada Lower Lower Ice Sheet wealth Wright Wright Sink Ross sea Lake Lake Lake Lake Lake Miers Fryxell!,False,False,False,False,False,False,False,False,,,,,,,False,Lake Miers,Lake Miers,Lake Miers,Lake Miers,,,True,True,True,True
8,Nostoc,Nostoc,False,2819,2820,13214,A steep 200 m bouldery section follows (Fig. 2) and at its lower reaches on the edge of L. Fryxell the stream spreads out across a dense Nostoc community growing as thick mats on a sandy substrate.,False,Ross Sea,the Ross Sea,1915,1917,8979,8987,It starts along the Mt Bird Ice Sheet (Fig. 2) and falls some 100-110 m ultimately discharging into the Ross Sea.,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
9,Nostoc,Nostoc,False,2819,2820,13214,A steep 200 m bouldery section follows (Fig. 2) and at its lower reaches on the edge of L. Fryxell the stream spreads out across a dense Nostoc community growing as thick mats on a sandy substrate.,False,Miers Valley,the Miers Valley,2025,2027,9516,9528,"The stream, 2.7 km long, originates along the edges of the Adais glacier 350 m above sea level and discharges into Lake Miers (Fig. 2) in the Miers Valley.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
10,Nostoc,Nostoc,False,2819,2820,13214,A steep 200 m bouldery section follows (Fig. 2) and at its lower reaches on the edge of L. Fryxell the stream spreads out across a dense Nostoc community growing as thick mats on a sandy substrate.,False,Ross Sea,the Ross Sea,2335,2337,10910,10918,"The source is the Mt Bird Ice sheet (left rear) after which the stream falls through loose moraines before flowing through the Adelie Penguin Rookery in the foreground, and then into the Ross Sea.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
11,Nostoc,Nostoc,False,2819,2820,13214,A steep 200 m bouldery section follows (Fig. 2) and at its lower reaches on the edge of L. Fryxell the stream spreads out across a dense Nostoc community growing as thick mats on a sandy substrate.,False,Onyx River,Onyx River,2368,2370,11078,11088,"Onyx River, Wright Valley in November near site 02 before first flow.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
12,Nostoc,Nostoc,False,2819,2820,13214,A steep 200 m bouldery section follows (Fig. 2) and at its lower reaches on the edge of L. Fryxell the stream spreads out across a dense Nostoc community growing as thick mats on a sandy substrate.,False,Wright Valley,Wright Valley,2371,2373,11090,11103,"Onyx River, Wright Valley in November near site 02 before first flow.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
13,Nostoc,Nostoc,False,2819,2820,13214,A steep 200 m bouldery section follows (Fig. 2) and at its lower reaches on the edge of L. Fryxell the stream spreads out across a dense Nostoc community growing as thick mats on a sandy substrate.,False,Onyx River,Onyx River,2401,2403,11213,11223,"Onyx River, Wright Valley in late December near site 02.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
14,Nostoc,Nostoc,False,2819,2820,13214,A steep 200 m bouldery section follows (Fig. 2) and at its lower reaches on the edge of L. Fryxell the stream spreads out across a dense Nostoc community growing as thick mats on a sandy substrate.,False,Wright Valley,Wright Valley,2404,2406,11225,11238,"Onyx River, Wright Valley in late December near site 02.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
15,Nostoc,Nostoc,False,2819,2820,13214,A steep 200 m bouldery section follows (Fig. 2) and at its lower reaches on the edge of L. Fryxell the stream spreads out across a dense Nostoc community growing as thick mats on a sandy substrate.,False,Onyx River,Onyx River,2851,2853,13366,13376,"Onyx River This river, the largest in Antarctica can be conveniently divided into two sections, the Upper Onyx (4.8 km) and the Main Onyx (30 km).",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
16,Nostoc,Nostoc,False,2819,2820,13214,A steep 200 m bouldery section follows (Fig. 2) and at its lower reaches on the edge of L. Fryxell the stream spreads out across a dense Nostoc community growing as thick mats on a sandy substrate.,False,Antarctica,Antarctica,2859,2860,13404,13414,"Onyx River This river, the largest in Antarctica can be conveniently divided into two sections, the Upper Onyx (4.8 km) and the Main Onyx (30 km).",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
17,Nostoc,Nostoc,False,2819,2820,13214,A steep 200 m bouldery section follows (Fig. 2) and at its lower reaches on the edge of L. Fryxell the stream spreads out across a dense Nostoc community growing as thick mats on a sandy substrate.,False,Onyx River,the Onyx River,3437,3439,16223,16233,"Methods 3.1, Stream discharges Discharge in the Onyx River was measured at Vanda weir by the New Zealand Ministry of Works and Development (see Curnn 1981).",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
18,Nostoc,Nostoc,False,2819,2820,13214,A steep 200 m bouldery section follows (Fig. 2) and at its lower reaches on the edge of L. Fryxell the stream spreads out across a dense Nostoc community growing as thick mats on a sandy substrate.,False,Taylor Valley,the Taylor Valley,4286,4288,20443,20456,b. Instantaneous records of photosynthetically active radiation (400—700 nm) from site C2 in the Taylor Valley over selected days.,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
19,Nostoc,Nostoc,False,2819,2820,13214,A steep 200 m bouldery section follows (Fig. 2) and at its lower reaches on the edge of L. Fryxell the stream spreads out across a dense Nostoc community growing as thick mats on a sandy substrate.,False,Taylor Valley,the Taylor Valley,4379,4381,20945,20958,Instantaneous records of photosynthetically active radiation in the wave band 400-700 nm from site C2 in the Taylor Valley show values ranging from 200-220 J m~2s~!,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
20,Nostoc,Nostoc,False,2819,2820,13214,A steep 200 m bouldery section follows (Fig. 2) and at its lower reaches on the edge of L. Fryxell the stream spreads out across a dense Nostoc community growing as thick mats on a sandy substrate.,False,Onyx River,the Onyx River,4522,4524,21532,21542,"Daily maximum and minimum air temperatures for Lake Vanda (lower reaches of the Onyx River) and Lower Wright Glacier (upper reaches of the Onyx River) for the period Nov. 1, 1983 to Jan. 31, 1984.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
21,Nostoc,Nostoc,False,2819,2820,13214,A steep 200 m bouldery section follows (Fig. 2) and at its lower reaches on the edge of L. Fryxell the stream spreads out across a dense Nostoc community growing as thick mats on a sandy substrate.,False,Onyx River,the Onyx River,4534,4536,21591,21601,"Daily maximum and minimum air temperatures for Lake Vanda (lower reaches of the Onyx River) and Lower Wright Glacier (upper reaches of the Onyx River) for the period Nov. 1, 1983 to Jan. 31, 1984.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
22,Nostoc,Nostoc,False,2819,2820,13214,A steep 200 m bouldery section follows (Fig. 2) and at its lower reaches on the edge of L. Fryxell the stream spreads out across a dense Nostoc community growing as thick mats on a sandy substrate.,False,Onyx River,Onyx River,4630,4632,22025,22035,"At Vanda station, one of the warmest study locations examined, the air temperature on some days never fell below 0 °C and reached a maximum of +8 °C, while at site O1 at the top of the Onyx River some 30 km away, daily maximum temperatures 34 Int.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
23,Nostoc,Nostoc,False,2819,2820,13214,A steep 200 m bouldery section follows (Fig. 2) and at its lower reaches on the edge of L. Fryxell the stream spreads out across a dense Nostoc community growing as thick mats on a sandy substrate.,False,Onyx River,Onyx River,4880,4882,23068,23078,"JAN. 1984 Figure 9a, Diel variation in stream water temperature for two antarctic streams during midsummer: Onyx River at site 02, Adams Stream at site A3.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
