,Found as,Full name,InDefinitiveList,Start,End,PositionOfFirstToken,Sentence_species,InReferenceList,Location,Original Tokenised Text,Start_Token,End_Token,Start_Index,End_Index,Sentence_location,NZGazAnt,NZGaz,ScarNZ,ScarGlobal,GeoNamesNZ,GeoNamesAnt,GeoNames,exactMatch,Close_Match_NZGazAnt,Close_Match_NZGaz,Close_Match_ScarNZ,Close_Match_ScarGlobal,Close_Match_GeoNamesNZ,Close_Match_GeoNamesAnt,Close_Match,PartialMatch_NZGazAnt,PartialMatch_NZGaz,PartialMatch_ScarNZ,PartialMatch_ScarGlobal,PartialMatch_GeoNamesNZ,PartialMatch_GeoNamesAnt,PartialMatch,inNZ,inAntarctica,Found
0,Cryptopygus antarcticus,Cryptopygus antarcticus,True,1927,1929,10313,"While aerial transport for Cryptopygus antarcticus has been documented to occur at the Antarctic Peninsula (32), taxa in more arid environments, such as ice-free areas of the Ross Sea region, face a greater threat of desiccation while in transit (33).",True,Antarctica,Antarctica,515,516,2716,2726,"As Collembola are a living record of past landscape evolution within Antarctica, these findings provide biological evidence to support geological and glaciological estimates of historical WAIS dynamics over the last ca.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
1,Cryptopygus antarcticus,Cryptopygus antarcticus,True,1927,1929,10313,"While aerial transport for Cryptopygus antarcticus has been documented to occur at the Antarctic Peninsula (32), taxa in more arid environments, such as ice-free areas of the Ross Sea region, face a greater threat of desiccation while in transit (33).",True,East Antarctic Ice Sheet,the East Antarctic Ice Sheet,615,619,3264,3288,"These warmer temperatures are thought to have caused a total collapse of the West Antarctic Ice Sheet (WAIS) and retreat of the East Antarctic Ice Sheet (EAIS) marine margins, as well as the Greenland Ice Sheet, resulting in an estimated 14-m rise in global mean sea level as compared to present-day levels (2-4).",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
2,Cryptopygus antarcticus,Cryptopygus antarcticus,True,1927,1929,10313,"While aerial transport for Cryptopygus antarcticus has been documented to occur at the Antarctic Peninsula (32), taxa in more arid environments, such as ice-free areas of the Ross Sea region, face a greater threat of desiccation while in transit (33).",True,Antarctica,Antarctica,716,717,3745,3755,"Much of Antarctica’s terrestrial biodiversity, including microinvertebrates (mites, springtails, nematodes, tardigrades, and rotifers), is concentrated along the Transantarctic Mountains where the WAIS and EAIS converge (Fig. 1).",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
3,Cryptopygus antarcticus,Cryptopygus antarcticus,True,1927,1929,10313,"While aerial transport for Cryptopygus antarcticus has been documented to occur at the Antarctic Peninsula (32), taxa in more arid environments, such as ice-free areas of the Ross Sea region, face a greater threat of desiccation while in transit (33).",True,Antarctica,Antarctica,926,927,4977,4987,"Rather than latitude, local environmental factors (including those associated with elevation and distance from the coast), local microhabitats, historical glacial events, and geographic barriers have largely dictated the distribution and diversity of present-day biological communities in Antarctica (12, 13).",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
4,Cryptopygus antarcticus,Cryptopygus antarcticus,True,1927,1929,10313,"While aerial transport for Cryptopygus antarcticus has been documented to occur at the Antarctic Peninsula (32), taxa in more arid environments, such as ice-free areas of the Ross Sea region, face a greater threat of desiccation while in transit (33).",True,Antarctica,Antarctica,939,940,5039,5049,"Among the largest terrestrial animals in Antarctica are the microarthropod Collembola (springtails) and Acari (mites), at generally <2 mm in length (10), as well as Diptera (flies/midges) from the Antarctic Peninsula.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
5,Cryptopygus antarcticus,Cryptopygus antarcticus,True,1927,1929,10313,"While aerial transport for Cryptopygus antarcticus has been documented to occur at the Antarctic Peninsula (32), taxa in more arid environments, such as ice-free areas of the Ross Sea region, face a greater threat of desiccation while in transit (33).",True,Antarctic Peninsula,the Antarctic Peninsula,975,977,5195,5214,"Among the largest terrestrial animals in Antarctica are the microarthropod Collembola (springtails) and Acari (mites), at generally <2 mm in length (10), as well as Diptera (flies/midges) from the Antarctic Peninsula.",False,False,False,True,False,False,False,True,,,,,,,,,,,,,,,False,True,True
6,Cryptopygus antarcticus,Cryptopygus antarcticus,True,1927,1929,10313,"While aerial transport for Cryptopygus antarcticus has been documented to occur at the Antarctic Peninsula (32), taxa in more arid environments, such as ice-free areas of the Ross Sea region, face a greater threat of desiccation while in transit (33).",True,Antarctica,Antarctica,984,985,5247,5257,Their long-term persistence in Antarctica would have necessitated survival in local refugia during glacial maxima followed by recolonization during more favorable interglacial periods (14).,False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
7,Cryptopygus antarcticus,Cryptopygus antarcticus,True,1927,1929,10313,"While aerial transport for Cryptopygus antarcticus has been documented to occur at the Antarctic Peninsula (32), taxa in more arid environments, such as ice-free areas of the Ross Sea region, face a greater threat of desiccation while in transit (33).",True,Ross Sea,Ross Sea,1167,1169,6405,6413,"Our genetic data corroborate climate reconstructions and estimates of past warm periods of reduced ice and absent ice shelf in the Ross Sea region, during which time open seaways would have facilitated dispersal of Collembola, and possibly other taxa.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
8,Cryptopygus antarcticus,Cryptopygus antarcticus,True,1927,1929,10313,"While aerial transport for Cryptopygus antarcticus has been documented to occur at the Antarctic Peninsula (32), taxa in more arid environments, such as ice-free areas of the Ross Sea region, face a greater threat of desiccation while in transit (33).",True,Antarctic Peninsula,Antarctic Peninsula,1583,1585,8504,8523,"For example, ancient and vicariant species of Antarctic Peninsula and Scotia Arc endemic midges have been separated for an estimated 49 My, since before the opening of the Drake Passage between South America and the South Shetland Islands 33 Mya to 30 Mya (21).",False,False,False,True,False,False,False,True,,,,,,,,,,,,,,,False,True,True
9,Cryptopygus antarcticus,Cryptopygus antarcticus,True,1927,1929,10313,"While aerial transport for Cryptopygus antarcticus has been documented to occur at the Antarctic Peninsula (32), taxa in more arid environments, such as ice-free areas of the Ross Sea region, face a greater threat of desiccation while in transit (33).",True,Ross Sea,the Ross Sea,1652,1654,8884,8892,"Furthermore, based on biodiversity patterns and genetic assessments of marine taxa (bryozoans, gastropods, and bivalves), collapse of the WAIS likely connected the Ross Sea and Weddell Sea (near the Antarctic Peninsula) (22).",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
