,Found as,Full name,InDefinitiveList,Start,End,PositionOfFirstToken,Sentence_species,InReferenceList,Location,Original Tokenised Text,Start_Token,End_Token,Start_Index,End_Index,Sentence_location,NZGazAnt,NZGaz,ScarNZ,ScarGlobal,GeoNamesNZ,GeoNamesAnt,GeoNames,exactMatch,Close_Match_NZGazAnt,Close_Match_NZGaz,Close_Match_ScarNZ,Close_Match_ScarGlobal,Close_Match_GeoNamesNZ,Close_Match_GeoNamesAnt,Close_Match,PartialMatch_NZGazAnt,PartialMatch_NZGaz,PartialMatch_ScarNZ,PartialMatch_ScarGlobal,PartialMatch_GeoNamesNZ,PartialMatch_GeoNamesAnt,PartialMatch,inNZ,inAntarctica,Found
0,Scottnema lindsayae,Scottnema lindsayae,True,30,32,221,"University of Nebraska - Lincoln DigitalCommons@uUniversity of Nebraska - Lincoln Faculty Publications from the Harold W. Manter Laboratory of Parasitology Parasitology, Harold W. Manter Laboratory of 2011 Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and Its Phylogenetic Relationship sven Bostrom Swedish Museum of Natural History, sven.bostrom@nrm.se Oleksandr Holovachov University of California - Riverside Steven A. Nadler University of California, Davis, sanadler@ucdavis.edu Follow this and additional works at: https://digitalcommons.unl.edu/parasitologyfacpubs & Part of the Parasitology Commons Bostrom, Sven; Holovachov, Oleksandr; and Nadler, Steven A., ""Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and Its Phylogenetic Relationship"" (2011).",True,Antarctica,Antarctica,44,45,299,309,"University of Nebraska - Lincoln DigitalCommons@uUniversity of Nebraska - Lincoln Faculty Publications from the Harold W. Manter Laboratory of Parasitology Parasitology, Harold W. Manter Laboratory of 2011 Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and Its Phylogenetic Relationship sven Bostrom Swedish Museum of Natural History, sven.bostrom@nrm.se Oleksandr Holovachov University of California - Riverside Steven A. Nadler University of California, Davis, sanadler@ucdavis.edu Follow this and additional works at: https://digitalcommons.unl.edu/parasitologyfacpubs & Part of the Parasitology Commons Bostrom, Sven; Holovachov, Oleksandr; and Nadler, Steven A., ""Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and Its Phylogenetic Relationship"" (2011).",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
1,Scottnema lindsayae,Scottnema lindsayae,True,30,32,221,"University of Nebraska - Lincoln DigitalCommons@uUniversity of Nebraska - Lincoln Faculty Publications from the Harold W. Manter Laboratory of Parasitology Parasitology, Harold W. Manter Laboratory of 2011 Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and Its Phylogenetic Relationship sven Bostrom Swedish Museum of Natural History, sven.bostrom@nrm.se Oleksandr Holovachov University of California - Riverside Steven A. Nadler University of California, Davis, sanadler@ucdavis.edu Follow this and additional works at: https://digitalcommons.unl.edu/parasitologyfacpubs & Part of the Parasitology Commons Bostrom, Sven; Holovachov, Oleksandr; and Nadler, Steven A., ""Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and Its Phylogenetic Relationship"" (2011).",True,Antarctica,Antarctica,120,121,819,829,"University of Nebraska - Lincoln DigitalCommons@uUniversity of Nebraska - Lincoln Faculty Publications from the Harold W. Manter Laboratory of Parasitology Parasitology, Harold W. Manter Laboratory of 2011 Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and Its Phylogenetic Relationship sven Bostrom Swedish Museum of Natural History, sven.bostrom@nrm.se Oleksandr Holovachov University of California - Riverside Steven A. Nadler University of California, Davis, sanadler@ucdavis.edu Follow this and additional works at: https://digitalcommons.unl.edu/parasitologyfacpubs & Part of the Parasitology Commons Bostrom, Sven; Holovachov, Oleksandr; and Nadler, Steven A., ""Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and Its Phylogenetic Relationship"" (2011).",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
2,Scottnema lindsayae,Scottnema lindsayae,True,30,32,221,"University of Nebraska - Lincoln DigitalCommons@uUniversity of Nebraska - Lincoln Faculty Publications from the Harold W. Manter Laboratory of Parasitology Parasitology, Harold W. Manter Laboratory of 2011 Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and Its Phylogenetic Relationship sven Bostrom Swedish Museum of Natural History, sven.bostrom@nrm.se Oleksandr Holovachov University of California - Riverside Steven A. Nadler University of California, Davis, sanadler@ucdavis.edu Follow this and additional works at: https://digitalcommons.unl.edu/parasitologyfacpubs & Part of the Parasitology Commons Bostrom, Sven; Holovachov, Oleksandr; and Nadler, Steven A., ""Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and Its Phylogenetic Relationship"" (2011).",True,Antarctica,Antarctica,245,246,1576,1586,"Polar Biol (2011) 34:1-12 DOI 10.1007/s00300-010-0850-8 ORIGINAL PAPER Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and its phylogenetic relationship Sven Bostrom : Oleksandr Holovachov : Steven A. Nadler Received:",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
3,Scottnema lindsayae,Scottnema lindsayae,True,30,32,221,"University of Nebraska - Lincoln DigitalCommons@uUniversity of Nebraska - Lincoln Faculty Publications from the Harold W. Manter Laboratory of Parasitology Parasitology, Harold W. Manter Laboratory of 2011 Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and Its Phylogenetic Relationship sven Bostrom Swedish Museum of Natural History, sven.bostrom@nrm.se Oleksandr Holovachov University of California - Riverside Steven A. Nadler University of California, Davis, sanadler@ucdavis.edu Follow this and additional works at: https://digitalcommons.unl.edu/parasitologyfacpubs & Part of the Parasitology Commons Bostrom, Sven; Holovachov, Oleksandr; and Nadler, Steven A., ""Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and Its Phylogenetic Relationship"" (2011).",True,East Antarctica,East Antarctica,549,551,3317,3332,"It has also been reported from the Syowa Station in East Antarctica (~71°S), on the other side of the continent, by Shishida and Ohyama (1986), from the Antarctic Peninsula (~ 62°S) by Mouratov et al. (2001), and recently as far south as the Transantarctic Mountains (~ 83°S) by Adams et al. (2007).",False,False,False,True,False,False,False,True,,,,,,,,,,,,,,,False,True,True
4,Scottnema lindsayae,Scottnema lindsayae,True,30,32,221,"University of Nebraska - Lincoln DigitalCommons@uUniversity of Nebraska - Lincoln Faculty Publications from the Harold W. Manter Laboratory of Parasitology Parasitology, Harold W. Manter Laboratory of 2011 Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and Its Phylogenetic Relationship sven Bostrom Swedish Museum of Natural History, sven.bostrom@nrm.se Oleksandr Holovachov University of California - Riverside Steven A. Nadler University of California, Davis, sanadler@ucdavis.edu Follow this and additional works at: https://digitalcommons.unl.edu/parasitologyfacpubs & Part of the Parasitology Commons Bostrom, Sven; Holovachov, Oleksandr; and Nadler, Steven A., ""Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and Its Phylogenetic Relationship"" (2011).",True,Antarctic Peninsula,the Antarctic Peninsula,575,577,3418,3437,"It has also been reported from the Syowa Station in East Antarctica (~71°S), on the other side of the continent, by Shishida and Ohyama (1986), from the Antarctic Peninsula (~ 62°S) by Mouratov et al. (2001), and recently as far south as the Transantarctic Mountains (~ 83°S) by Adams et al. (2007).",False,False,False,True,False,False,False,True,,,,,,,,,,,,,,,False,True,True
5,Scottnema lindsayae,Scottnema lindsayae,True,30,32,221,"University of Nebraska - Lincoln DigitalCommons@uUniversity of Nebraska - Lincoln Faculty Publications from the Harold W. Manter Laboratory of Parasitology Parasitology, Harold W. Manter Laboratory of 2011 Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and Its Phylogenetic Relationship sven Bostrom Swedish Museum of Natural History, sven.bostrom@nrm.se Oleksandr Holovachov University of California - Riverside Steven A. Nadler University of California, Davis, sanadler@ucdavis.edu Follow this and additional works at: https://digitalcommons.unl.edu/parasitologyfacpubs & Part of the Parasitology Commons Bostrom, Sven; Holovachov, Oleksandr; and Nadler, Steven A., ""Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and Its Phylogenetic Relationship"" (2011).",True,Antarctica,Antarctica,2884,2885,15544,15554,"Pseudacrobeles bostromi Scottnema lindsayae Scottnema lindsayae Polar Biol (2011) 34:1-12 Locality Soil, Lviv Botanical garden, Ukraine Dune sand, Mojave desert, CA, USA Soil under Ferocactus, Sonoran desert, CA, USA Soil, Kjettslinge, Sweden Soil, Kjettslinge, Sweden Soil, Kjettslinge, Sweden Soil, Santa Rosa Plateau Reserve, CA, USA Rotting wood, James San Jacinto Mt. Reserve, CA, USA Rotting wood, Roztochya reserve, Ukraine #24, Sand, Taylor Valley, Antarctica #25, Sand, Taylor Valley, Antarctica Polar Biol (2011) 34:1-12 Fig. 2.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
6,Scottnema lindsayae,Scottnema lindsayae,True,30,32,221,"University of Nebraska - Lincoln DigitalCommons@uUniversity of Nebraska - Lincoln Faculty Publications from the Harold W. Manter Laboratory of Parasitology Parasitology, Harold W. Manter Laboratory of 2011 Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and Its Phylogenetic Relationship sven Bostrom Swedish Museum of Natural History, sven.bostrom@nrm.se Oleksandr Holovachov University of California - Riverside Steven A. Nadler University of California, Davis, sanadler@ucdavis.edu Follow this and additional works at: https://digitalcommons.unl.edu/parasitologyfacpubs & Part of the Parasitology Commons Bostrom, Sven; Holovachov, Oleksandr; and Nadler, Steven A., ""Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and Its Phylogenetic Relationship"" (2011).",True,Taylor Valley,Taylor Valley,7139,7141,34115,34128,National Science Foundation (NSF) Office of Polar Programs to Olle Karlsson who conducted the field sampling in Taylor Valley during the expedition SWEDARP 2008/09.,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
7,Scottnema lindsayae,Scottnema lindsayae,True,30,32,221,"University of Nebraska - Lincoln DigitalCommons@uUniversity of Nebraska - Lincoln Faculty Publications from the Harold W. Manter Laboratory of Parasitology Parasitology, Harold W. Manter Laboratory of 2011 Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and Its Phylogenetic Relationship sven Bostrom Swedish Museum of Natural History, sven.bostrom@nrm.se Oleksandr Holovachov University of California - Riverside Steven A. Nadler University of California, Davis, sanadler@ucdavis.edu Follow this and additional works at: https://digitalcommons.unl.edu/parasitologyfacpubs & Part of the Parasitology Commons Bostrom, Sven; Holovachov, Oleksandr; and Nadler, Steven A., ""Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and Its Phylogenetic Relationship"" (2011).",True,Antarctica,Antarctica,7361,7362,35276,35286,"J Nematode Morph Syst 1:107-186 Ayres E, Nkem JN, Wall DH, Adams BJ, Barrett JE, Broos EJ, Parsons AN, Powers LE, Simmons BL, Virginia RA (2008) Effects of human trampling on populations of soil fauna in the McMurdo Dry Valleys, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
8,Scottnema lindsayae,Scottnema lindsayae,True,30,32,221,"University of Nebraska - Lincoln DigitalCommons@uUniversity of Nebraska - Lincoln Faculty Publications from the Harold W. Manter Laboratory of Parasitology Parasitology, Harold W. Manter Laboratory of 2011 Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and Its Phylogenetic Relationship sven Bostrom Swedish Museum of Natural History, sven.bostrom@nrm.se Oleksandr Holovachov University of California - Riverside Steven A. Nadler University of California, Davis, sanadler@ucdavis.edu Follow this and additional works at: https://digitalcommons.unl.edu/parasitologyfacpubs & Part of the Parasitology Commons Bostrom, Sven; Holovachov, Oleksandr; and Nadler, Steven A., ""Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and Its Phylogenetic Relationship"" (2011).",True,Antarctica,Antarctica,7558,7559,36270,36280,"Determining habitat suitability for soil invertebrates in an extreme environment: the McMurdo Dry Valleys, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
9,Scottnema lindsayae,Scottnema lindsayae,True,30,32,221,"University of Nebraska - Lincoln DigitalCommons@uUniversity of Nebraska - Lincoln Faculty Publications from the Harold W. Manter Laboratory of Parasitology Parasitology, Harold W. Manter Laboratory of 2011 Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and Its Phylogenetic Relationship sven Bostrom Swedish Museum of Natural History, sven.bostrom@nrm.se Oleksandr Holovachov University of California - Riverside Steven A. Nadler University of California, Davis, sanadler@ucdavis.edu Follow this and additional works at: https://digitalcommons.unl.edu/parasitologyfacpubs & Part of the Parasitology Commons Bostrom, Sven; Holovachov, Oleksandr; and Nadler, Steven A., ""Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and Its Phylogenetic Relationship"" (2011).",True,Antarctica,Antarctica,7692,7693,36946,36956,"Snow-patch influence on soil biogeochemical processes and invertebrate distribution in the McMurdo Dry Valleys, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
