,Species,Start_Token_Species,End_Token_Species,Start_Index_Species,End_Index_Species,classId_Species,Sentence_Species,inAbstract300_Species,inAbstract500_Species,max_TFISF_Species,Sent_Start_Species,Document,AnnTxtFile,Location,Start_Token_Location,End_Token_Location,Start_Index_Location,End_Index_Location,classId_Location,Sentence_Location,inAbstract300_Location,inAbstract500_Location,max_TFISF_Location,Sent_Start_Location,AnnTxtFile_Location,Tagged_Relationship
0,Oligochaeta,1458,1459,7879,7889,e_1,"These OTUs matched diverse taxa in GenBank, including mosses (Bryophyta), animals (e.g. Nematoda, Oligochaeta, Arthropoda) and algae (predominantly Chlorophyta).",0,0,3.3232358401924436,0,Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt,ExtractedAnnotatedData\OldSet\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt.txt,Antarctica,27,28,254,263,e_2,"




aODfaqaUXF66h3uPZ4aupXSRnsqq-Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt





 https://doi.org/10.1007/s00300-017-2198-9 SHORT NOTE @® CrossMark Evidence of plant and animal communities at exposed and subglacial (cave) geothermal sites in Antarctica Ceridwen I. Fraser'@®-+",1,1,1.8191584434161694,0,ExtractedAnnotatedData\OldSet\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt.txt,0
1,Oligochaeta,1458,1459,7879,7889,e_1,"These OTUs matched diverse taxa in GenBank, including mosses (Bryophyta), animals (e.g. Nematoda, Oligochaeta, Arthropoda) and algae (predominantly Chlorophyta).",0,0,3.3232358401924436,0,Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt,ExtractedAnnotatedData\OldSet\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt.txt,Germany,72,73,469,475,e_2,"Published online: 17 August 2017 © Springer-Verlag GmbH Germany 2017 Abstract Geothermal areas, such as volcanoes, might have acted as glacial microrefugia for a wide range of species.",0,0,4.709530201312334,0,ExtractedAnnotatedData\OldSet\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt.txt,0
2,Oligochaeta,1458,1459,7879,7889,e_1,"These OTUs matched diverse taxa in GenBank, including mosses (Bryophyta), animals (e.g. Nematoda, Oligochaeta, Arthropoda) and algae (predominantly Chlorophyta).",0,0,3.3232358401924436,0,Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt,ExtractedAnnotatedData\OldSet\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt.txt,Antarctic continent,101,103,644,662,e_2,The heavily glaciated but volcanically active Antarctic continent presents an ideal system for assessing this hypothesis.,1,1,3.100092288878234,0,ExtractedAnnotatedData\OldSet\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt.txt,0
3,Oligochaeta,1458,1459,7879,7889,e_1,"These OTUs matched diverse taxa in GenBank, including mosses (Bryophyta), animals (e.g. Nematoda, Oligochaeta, Arthropoda) and algae (predominantly Chlorophyta).",0,0,3.3232358401924436,0,Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt,ExtractedAnnotatedData\OldSet\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt.txt,Antarctica,119,120,757,766,e_2,"Ice-free terrain around volcanoes in Antarctica is, however, often restricted to small patches, whereas subglacial cave systems, formed by vented volcanic steam, can be extensive and interconnected.",1,1,1.8191584434161694,0,ExtractedAnnotatedData\OldSet\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt.txt,0
4,Oligochaeta,1458,1459,7879,7889,e_1,"These OTUs matched diverse taxa in GenBank, including mosses (Bryophyta), animals (e.g. Nematoda, Oligochaeta, Arthropoda) and algae (predominantly Chlorophyta).",0,0,3.3232358401924436,0,Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt,ExtractedAnnotatedData\OldSet\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt.txt,Antarctica,160,161,1010,1019,e_2,"No observations of macrobiota have yet been made for subglacial geothermal environments in Antarctica, but these organisms are often patchily distributed and can be difficult to find.",1,1,1.8191584434161694,0,ExtractedAnnotatedData\OldSet\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt.txt,0
5,Oligochaeta,1458,1459,7879,7889,e_1,"These OTUs matched diverse taxa in GenBank, including mosses (Bryophyta), animals (e.g. Nematoda, Oligochaeta, Arthropoda) and algae (predominantly Chlorophyta).",0,0,3.3232358401924436,0,Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt,ExtractedAnnotatedData\OldSet\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt.txt,Victoria Land,195,197,1211,1223,e_2,"We carried out metabarcoding (eDNA) analyses of soil samples taken from exposed areas on three volcanoes in Victoria Land, and subglacial caves on Mount Erebus.",1,1,4.0163830207523885,0,ExtractedAnnotatedData\OldSet\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt.txt,0
6,Oligochaeta,1458,1459,7879,7889,e_1,"These OTUs matched diverse taxa in GenBank, including mosses (Bryophyta), animals (e.g. Nematoda, Oligochaeta, Arthropoda) and algae (predominantly Chlorophyta).",0,0,3.3232358401924436,0,Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt,ExtractedAnnotatedData\OldSet\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt.txt,Mount Erebus,202,204,1250,1261,e_2,"We carried out metabarcoding (eDNA) analyses of soil samples taken from exposed areas on three volcanoes in Victoria Land, and subglacial caves on Mount Erebus.",1,1,2.4069451083182885,0,ExtractedAnnotatedData\OldSet\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt.txt,0
7,Oligochaeta,1458,1459,7879,7889,e_1,"These OTUs matched diverse taxa in GenBank, including mosses (Bryophyta), animals (e.g. Nematoda, Oligochaeta, Arthropoda) and algae (predominantly Chlorophyta).",0,0,3.3232358401924436,0,Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt,ExtractedAnnotatedData\OldSet\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt.txt,"Acton, ACT",315,318,1923,1932,e_2,"Ceridwen I. Fraser ceridwen.fraser @ gmail.com Fenner School of Environment and Society, Australian National University, Acton, ACT 2601, Australia Department of Molecular and Biomedical Sciences, University of Maine, 5735 Hitchner Hall, Orono, ME, USA International Centre for Terrestrial Antarctic Research, University of Waikato, Hamilton 3240, New Zealand Introduction Antarctica is a heavily glaciated continent with less than 0.3% of land currently exposed (Convey and Stevens 2007).",1,1,4.709530201312334,0,ExtractedAnnotatedData\OldSet\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt.txt,0
8,Oligochaeta,1458,1459,7879,7889,e_1,"These OTUs matched diverse taxa in GenBank, including mosses (Bryophyta), animals (e.g. Nematoda, Oligochaeta, Arthropoda) and algae (predominantly Chlorophyta).",0,0,3.3232358401924436,0,Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt,ExtractedAnnotatedData\OldSet\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt.txt,"Orono, ME,",336,340,2040,2049,e_2,"Ceridwen I. Fraser ceridwen.fraser @ gmail.com Fenner School of Environment and Society, Australian National University, Acton, ACT 2601, Australia Department of Molecular and Biomedical Sciences, University of Maine, 5735 Hitchner Hall, Orono, ME, USA International Centre for Terrestrial Antarctic Research, University of Waikato, Hamilton 3240, New Zealand Introduction Antarctica is a heavily glaciated continent with less than 0.3% of land currently exposed (Convey and Stevens 2007).",1,1,4.709530201312334,0,ExtractedAnnotatedData\OldSet\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt.txt,0
9,Oligochaeta,1458,1459,7879,7889,e_1,"These OTUs matched diverse taxa in GenBank, including mosses (Bryophyta), animals (e.g. Nematoda, Oligochaeta, Arthropoda) and algae (predominantly Chlorophyta).",0,0,3.3232358401924436,0,Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt,ExtractedAnnotatedData\OldSet\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt.txt,USA,340,341,2051,2053,e_2,"Ceridwen I. Fraser ceridwen.fraser @ gmail.com Fenner School of Environment and Society, Australian National University, Acton, ACT 2601, Australia Department of Molecular and Biomedical Sciences, University of Maine, 5735 Hitchner Hall, Orono, ME, USA International Centre for Terrestrial Antarctic Research, University of Waikato, Hamilton 3240, New Zealand Introduction Antarctica is a heavily glaciated continent with less than 0.3% of land currently exposed (Convey and Stevens 2007).",1,1,4.0163830207523885,0,ExtractedAnnotatedData\OldSet\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt\Fraser2018_Article_EvidenceOfPlantAndAnimalCommun.txt.txt,0
