,Unnamed: 0,Model,Sample,Precision,Recall,F1,Sample Ratio
0,0,Random Forest,Downsample 100 to 1,0.2854187192118226,0.8194444444444444,0.4218050502600587,100.0
1,1,Extra Trees,Full Train Sample,0.4634920634920635,0.3611111111111111,0.4006349206349206,165.0
2,2,Random Forest,Full Train Sample,0.4857142857142856,0.3416666666666667,0.4002747252747253,165.0
3,3,Extra Trees,Downsample 100 to 1,0.2562924901185771,0.7944444444444445,0.3860206676886456,100.0
4,4,LGBM,Downsample 100 to 1,0.2336370130420473,0.7055555555555555,0.3492575524833589,100.0
5,5,Random Forest,Downsample 50 to 1,0.209109655824052,0.8638888888888889,0.3362429582550917,50.0
6,6,Extra Trees,Downsample 50 to 1,0.1957736757736758,0.8416666666666666,0.3158789691670501,50.0
7,7,LGBM,Downsample 50 to 1,0.1483786848072562,0.75,0.2454213966288269,50.0
8,8,Extra Trees,Downsample 20 to 1,0.114742592177937,0.8861111111111111,0.2030378250652223,20.0
9,9,Random Forest,Downsample 20 to 1,0.1137075672616351,0.9083333333333332,0.2011603114724097,20.0
10,10,LGBM,Downsample 20 to 1,0.0945672445635795,0.8638888888888889,0.1688383910845259,20.0
11,11,Extra Trees,Downsample 10 to 1,0.0791545925006196,0.9083333333333332,0.1451970775996562,10.0
