,Model,Sample,Precision,Recall,F1
7,Extra Trees,downsample100to1,0.5344827586206896,0.9393939393939394,0.6813186813186812
13,Random Forest,downsample100to1,0.5344827586206896,0.9393939393939394,0.6813186813186812
14,Random Forest,downsample50to1,0.484375,0.9393939393939394,0.6391752577319588
8,Extra Trees,downsample50to1,0.484375,0.9393939393939394,0.6391752577319588
1,LGBM,downsample100to1,0.4838709677419355,0.9090909090909091,0.631578947368421
2,LGBM,downsample50to1,0.4915254237288136,0.8787878787878788,0.6304347826086957
0,LGBM,Full Train Sample,0.3673469387755102,0.5454545454545454,0.43902439024390244
12,Random Forest,Full Train Sample,0.3673469387755102,0.5454545454545454,0.43902439024390244
6,Extra Trees,Full Train Sample,0.3673469387755102,0.5454545454545454,0.43902439024390244
3,LGBM,downsample10to1,0.2711864406779661,0.9696969696969697,0.423841059602649
15,Random Forest,downsample10to1,0.2605042016806723,0.9393939393939394,0.4078947368421053
9,Extra Trees,downsample10to1,0.2605042016806723,0.9393939393939394,0.4078947368421053
10,Extra Trees,downsample5to1,0.1751412429378531,0.9393939393939394,0.29523809523809524
16,Random Forest,downsample5to1,0.1751412429378531,0.9393939393939394,0.29523809523809524
4,LGBM,downsample5to1,0.17032967032967034,0.9393939393939394,0.28837209302325584
11,Extra Trees,downsample2to1,0.1658291457286432,1.0,0.28448275862068967
17,Random Forest,downsample2to1,0.1658291457286432,1.0,0.28448275862068967
5,LGBM,downsample2to1,0.12955465587044535,0.9696969696969697,0.2285714285714286
