,Model,Precision,Recall,F1
13,Random Forest - downsample100to1,0.5636363636363636,0.9393939393939394,0.7045454545454546
7,Extra Trees - downsample100to1,0.5636363636363636,0.9393939393939394,0.7045454545454546
1,LGBM-downsample100to1,0.5172413793103449,0.9090909090909091,0.6593406593406593
2,LGBM-downsample50to1,0.4915254237288136,0.8787878787878788,0.6304347826086957
14,Random Forest - downsample50to1,0.4626865671641791,0.9393939393939394,0.62
8,Extra Trees - downsample50to1,0.4626865671641791,0.9393939393939394,0.62
9,Extra Trees - downsample10to1,0.2920353982300885,1.0,0.452054794520548
15,Random Forest - downsample10to1,0.2920353982300885,1.0,0.452054794520548
12,Random Forest - Full Train Sample,0.3695652173913043,0.5151515151515151,0.43037974683544306
0,LGBM - Full Train Sample,0.3695652173913043,0.5151515151515151,0.43037974683544306
3,LGBM-downsample10to1,0.2711864406779661,0.9696969696969697,0.423841059602649
6,Extra Trees - Full Train Sample,0.32608695652173914,0.45454545454545453,0.379746835443038
4,LGBM-downsample5to1,0.1793478260869565,1.0,0.304147465437788
10,Extra Trees - downsample5to1,0.17647058823529413,1.0,0.3
16,Random Forest - downsample5to1,0.17647058823529413,1.0,0.3
11,Extra Trees - downsample2to1,0.14732142857142858,1.0,0.25680933852140075
17,Random Forest - downsample2to1,0.14732142857142858,1.0,0.25680933852140075
5,LGBM-downsample2to1,0.12598425196850394,0.9696969696969697,0.2229965156794425
