,Found as,Full name,InDefinitiveList,Start,End,PositionOfFirstToken,Sentence_species,InReferenceList,Location,Original Tokenised Text,Start_Token,End_Token,Start_Index,End_Index,Sentence_location,NZGazAnt,NZGaz,ScarNZ,ScarGlobal,GeoNamesNZ,GeoNamesAnt,GeoNames,exactMatch,Close_Match_NZGazAnt,Close_Match_NZGaz,Close_Match_ScarNZ,Close_Match_ScarGlobal,Close_Match_GeoNamesNZ,Close_Match_GeoNamesAnt,Close_Match,PartialMatch_NZGazAnt,PartialMatch_NZGaz,PartialMatch_ScarNZ,PartialMatch_ScarGlobal,PartialMatch_GeoNamesNZ,PartialMatch_GeoNamesAnt,PartialMatch,inNZ,inAntarctica,Found
0,Gamasellus,Gamasellus,False,1226,1227,6963,"For example, the predatory mite Gamasellus sp. was randomly distributed over a range of spatial scales, while springtails in the genus Cryptopygus were clumped at scales of 10 to 60cm.",False,East Antarctica,East Antarctica,202,204,1229,1244,In Victoria Land (East Antarctica),False,False,False,True,False,False,False,True,,,,,,,,,,,,,,,False,True,True
1,Gamasellus,Gamasellus,False,1226,1227,6963,"For example, the predatory mite Gamasellus sp. was randomly distributed over a range of spatial scales, while springtails in the genus Cryptopygus were clumped at scales of 10 to 60cm.",False,Antarctica,Antarctica,316,317,1948,1958,"Here, we review the relevant literature and outline more appropriate sampling designs as well as suitable modelling techniques (e.g. linear mixed models and eigenvector mapping), that will more adequately address and identify the range of factors doi:10.1017/S095410201000043X responsible for the distribution of terrestrial arthropods in Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
2,Gamasellus,Gamasellus,False,1226,1227,6963,"For example, the predatory mite Gamasellus sp. was randomly distributed over a range of spatial scales, while springtails in the genus Cryptopygus were clumped at scales of 10 to 60cm.",False,Antarctica,Antarctica,330,331,2016,2026,"Received 12 August 2009, accepted 1 May 2010 Key words: Antarctica, mites, modelling designs, phylogeography, sampling, spatial distribution, springtails Introduction Much of the biogeographical and ecological research of Antarctic terrestrial organisms has assumed that abiotic factors are primarily responsible for explaining their distributions (e.g. Convey et al. 2003, Hogg et al. 2006).",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
3,Gamasellus,Gamasellus,False,1226,1227,6963,"For example, the predatory mite Gamasellus sp. was randomly distributed over a range of spatial scales, while springtails in the genus Cryptopygus were clumped at scales of 10 to 60cm.",False,Antarctic Peninsula,the Antarctic Peninsula,582,584,3435,3454,"Peat et al. (2007) performed an extensive evaluation of the flora in the same regions and concluded that there was no evidence for a latitudinal cline in this area, even though a cline was clearly evident in the Antarctic Peninsula.",False,False,False,True,False,False,False,True,,,,,,,,,,,,,,,False,True,True
4,Gamasellus,Gamasellus,False,1226,1227,6963,"For example, the predatory mite Gamasellus sp. was randomly distributed over a range of spatial scales, while springtails in the genus Cryptopygus were clumped at scales of 10 to 60cm.",False,Antarctica,Antarctica,5311,5312,29909,29919,"Accordingly, the idiosyncrasies of processes at local and larger scales in Antarctica are the result of interactions between historical and environmental drivers and their resulting effect on terrestrial arthropod distribution.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
5,Gamasellus,Gamasellus,False,1226,1227,6963,"For example, the predatory mite Gamasellus sp. was randomly distributed over a range of spatial scales, while springtails in the genus Cryptopygus were clumped at scales of 10 to 60cm.",False,Antarctica,Antarctica,5860,5861,32979,32989,"Algae, lichens and fungi in La Gorce Mountains, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
6,Gamasellus,Gamasellus,False,1226,1227,6963,"For example, the predatory mite Gamasellus sp. was randomly distributed over a range of spatial scales, while springtails in the genus Cryptopygus were clumped at scales of 10 to 60cm.",False,Antarctica,Antarctica,5929,5930,33301,33311,Assessing abundance and diversity patterns of soil microarthropod assemblages in northern Victoria Land (Antarctica).,False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
7,Gamasellus,Gamasellus,False,1226,1227,6963,"For example, the predatory mite Gamasellus sp. was randomly distributed over a range of spatial scales, while springtails in the genus Cryptopygus were clumped at scales of 10 to 60cm.",False,Antarctica,Antarctica,6074,6075,33957,33967,Trends in Antarctic terrestrial and limnetic ecosystems: Antarctica as a global indicator.,False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
8,Gamasellus,Gamasellus,False,1226,1227,6963,"For example, the predatory mite Gamasellus sp. was randomly distributed over a range of spatial scales, while springtails in the genus Cryptopygus were clumped at scales of 10 to 60cm.",False,Antarctica,Antarctica,6274,6275,34872,34882,Exploring biological constraints on the glacial history of Antarctica.,False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
9,Gamasellus,Gamasellus,False,1226,1227,6963,"For example, the predatory mite Gamasellus sp. was randomly distributed over a range of spatial scales, while springtails in the genus Cryptopygus were clumped at scales of 10 to 60cm.",False,Antarctica,Antarctica,6525,6526,36089,36099,"High levels of genetic variability and population differentiation in Gressittacantha terranova (Collembola, Hexapoda) from Victoria Land, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
