,Found as,Full name,InDefinitiveList,Start,End,PositionOfFirstToken,Sentence_species,InReferenceList,Location,Original Tokenised Text,Start_Token,End_Token,Start_Index,End_Index,Sentence_location,NZGazAnt,NZGaz,ScarNZ,ScarGlobal,GeoNamesNZ,GeoNamesAnt,GeoNames,exactMatch,Close_Match_NZGazAnt,Close_Match_NZGaz,Close_Match_ScarNZ,Close_Match_ScarGlobal,Close_Match_GeoNamesNZ,Close_Match_GeoNamesAnt,Close_Match,PartialMatch_NZGazAnt,PartialMatch_NZGaz,PartialMatch_ScarNZ,PartialMatch_ScarGlobal,PartialMatch_GeoNamesNZ,PartialMatch_GeoNamesAnt,PartialMatch,inNZ,inAntarctica,Found
0,Synechococcus,Synechococcus,True,4657,4658,25116,"The Proteobacteria and Bacteroidetes were the revealed the most abundant was a Synechococcus-like taxon, only other phyla to comprise >10% of the overall community, whilst all other phylotypes showed highest similarity with although overall diversity spanned 23 phyla.",False,Antarctica,Antarctica,169,170,896,906,"Published: 20 October 2016 Citation: Wei STS, Lacap-Bugler DC, Lau MCY, Caruso T, Rao §, de los Rios A, Archer SK, Chiu JMY, Higgins C, Van Nostrand JD, Zhou J, Hopkins DW and Pointing SB (2016) Taxonomic and Functional Diversity of Soil and Hypolithic Microbial Communities in Miers Valley, McMurdo Dry Valleys, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
1,Synechococcus,Synechococcus,True,4657,4658,25116,"The Proteobacteria and Bacteroidetes were the revealed the most abundant was a Synechococcus-like taxon, only other phyla to comprise >10% of the overall community, whilst all other phylotypes showed highest similarity with although overall diversity spanned 23 phyla.",False,Antarctica,Antarctica,483,484,2523,2533,"doi: 10.3389/fmicb.2016.01642 Check for updates   Taxonomic and Functional Diversity of Soil and Hypolithic Microbial Communities in Miers Valley, McMurdo Dry Valleys, Antarctica Sean T. S. Wei', Donnabella C. Lacap-Bugler'*, Maggie C. Y. Lau?, Tancredi Caruso?, Subramanya Rao“, Asuncion de los Rios®, Stephen K. Archer’, Jill M. Y. Chiu®, Colleen Higgins’, Joy D. Van Nostrand’, Jizhong Zhou’®°, David W. Hopkins’ and Stephen B. Pointing""""'* "" Institute for Applied Ecology New Zealand, School of Applied Sciences, Auckland University of Technology, Auckland, New Zealand, * Department of Geosciences, Princeton University, Princeton, NJ, USA, ° School of Biological Sciences, Queen’s University Belfast, Belfast, Northern Ireland, * Department of Health Technology and Informatics, Hong Kong Polytechnic University, Hong Kong, China, ° Departamento de Biogeoquimica y Ecologia Microbiana, Museo Nacional de Ciencias Naturales, Madrid, Spain, ° Department of Biology, Hong Kong Baptist University, Hong Kong, China, ’ Department of Microbiology and Plant Biology, Institute for Environmental Genomics, University of Oklahoma, Norman, OK, USA, ° State Key Joint Laboratory of Environment Simulation and Pollution Control, School of Environment, Tsinghua University, Beijing, China, ° Earth Sciences Division, Lawrence Berkeley National Laboratory, Berkeley, CA, USA, '° School of Agriculture, Food and Environment, The Royal Agricultural University, Gloucestershire, UK, ""' Institute of Nature and Environmental Technology, Kanazawa University, Kanazawa, Japan The McMurdo Dry Valleys of Antarctica are an extreme polar desert.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
2,Synechococcus,Synechococcus,True,4657,4658,25116,"The Proteobacteria and Bacteroidetes were the revealed the most abundant was a Synechococcus-like taxon, only other phyla to comprise >10% of the overall community, whilst all other phylotypes showed highest similarity with although overall diversity spanned 23 phyla.",False,Miers Valley,the Miers Valley,544,546,2955,2967,Here we report a combined diversity and functional interrogation for soll and hypoliths of the Miers Valley in the McMurdo Dry Valleys of Antarctica.,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
3,Synechococcus,Synechococcus,True,4657,4658,25116,"The Proteobacteria and Bacteroidetes were the revealed the most abundant was a Synechococcus-like taxon, only other phyla to comprise >10% of the overall community, whilst all other phylotypes showed highest similarity with although overall diversity spanned 23 phyla.",False,Antarctica,Antarctica,656,657,3762,3772,"Keywords: Antarctica, cyanobacteria, Dry Valleys, Geochip, hypolith, soil INTRODUCTION",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
4,Synechococcus,Synechococcus,True,4657,4658,25116,"The Proteobacteria and Bacteroidetes were the revealed the most abundant was a Synechococcus-like taxon, only other phyla to comprise >10% of the overall community, whilst all other phylotypes showed highest similarity with although overall diversity spanned 23 phyla.",False,Antarctica,Antarctica,676,677,3870,3880,"The largest ice-free region in Antarctica is the McMurdo Dry Valleys (hereafter referred to as Dry Valleys) and these are designated by international treaty as an Antarctic Special Managed Area to reflect their unique ecological status (SCAR, 2004).",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
5,Synechococcus,Synechococcus,True,4657,4658,25116,"The Proteobacteria and Bacteroidetes were the revealed the most abundant was a Synechococcus-like taxon, only other phyla to comprise >10% of the overall community, whilst all other phylotypes showed highest similarity with although overall diversity spanned 23 phyla.",False,Dry Valley,Dry Valley,1528,1530,8418,8428,"We recently reported the first study of functional diversity for cryptic communities in a rocky, high altitude, inland Dry Valley location using the Geochip functional microarray, and identified that the ability to transform recalcitrant aromatics explained the major difference between rock and soil communities (Chan et al., 2013).",True,True,False,False,False,False,False,True,,,,,,,,,,,,,,,True,True,True
6,Synechococcus,Synechococcus,True,4657,4658,25116,"The Proteobacteria and Bacteroidetes were the revealed the most abundant was a Synechococcus-like taxon, only other phyla to comprise >10% of the overall community, whilst all other phylotypes showed highest similarity with although overall diversity spanned 23 phyla.",False,Miers Valley,the Miers Valley,1617,1619,8930,8942,"We tested the hypothesis that communities in soil and hypolithic niches within the Miers Valley (McMurdo Dry Valleys, Antarctica) show divergence in both taxonomic composition and putative functional traits.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
7,Synechococcus,Synechococcus,True,4657,4658,25116,"The Proteobacteria and Bacteroidetes were the revealed the most abundant was a Synechococcus-like taxon, only other phyla to comprise >10% of the overall community, whilst all other phylotypes showed highest similarity with although overall diversity spanned 23 phyla.",False,Antarctica,Antarctica,1624,1625,8965,8975,"We tested the hypothesis that communities in soil and hypolithic niches within the Miers Valley (McMurdo Dry Valleys, Antarctica) show divergence in both taxonomic composition and putative functional traits.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
8,Synechococcus,Synechococcus,True,4657,4658,25116,"The Proteobacteria and Bacteroidetes were the revealed the most abundant was a Synechococcus-like taxon, only other phyla to comprise >10% of the overall community, whilst all other phylotypes showed highest similarity with although overall diversity spanned 23 phyla.",False,Miers Valley,The Miers Valley,1638,1640,9059,9071,The Miers Valley is a maritimeinfluenced Dry Valley with expansive moraine valley floor that presents a hypolith-soil habitat.,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
9,Synechococcus,Synechococcus,True,4657,4658,25116,"The Proteobacteria and Bacteroidetes were the revealed the most abundant was a Synechococcus-like taxon, only other phyla to comprise >10% of the overall community, whilst all other phylotypes showed highest similarity with although overall diversity spanned 23 phyla.",False,Dry Valley,Dry Valley,1643,1645,9096,9106,The Miers Valley is a maritimeinfluenced Dry Valley with expansive moraine valley floor that presents a hypolith-soil habitat.,True,True,False,False,False,False,False,True,,,,,,,,,,,,,,,True,True,True
